instrument,n_snaps,spread_median_c,spread_min_c,spread_max_c,bid_step12_mode,ask_step12_mode,bid_stacked_pct,ask_stacked_pct,bid_flat_pct,ask_flat_pct,bid_clean_pct,ask_clean_pct,mid_mean,mid_std
CARD,47,2,1,5,1,1,40.4,29.8,0.0,0.0,40.4,31.9,9656.2,411.5
DDJH,47,2,2,3,1,1,61.7,87.2,0.0,0.0,63.8,89.4,8374.4,188.9
DLKV,47,2,1,4,1,1,57.4,57.4,0.0,0.0,57.4,57.4,8752.3,183.6
ETFA,47,4,1,8,2,2,40.4,29.8,0.0,0.0,42.6,31.9,9057.4,98.8
ETFA3,47,4,1,8,2,2,27.7,34.0,0.0,0.0,29.8,40.4,9086.2,162.5
ETFB,47,2,1,3,1,1,34.0,34.0,0.0,0.0,40.4,42.6,9263.8,88.2
ETFB3,47,2,1,4,1,1,46.8,38.3,0.0,0.0,51.1,38.3,9640.7,215.1
ETFSH,47,2,1,3,1,1,46.8,40.4,0.0,0.0,63.8,44.7,9502.4,130.3
FSR,47,4,1,10,2,2,57.4,55.3,0.0,0.0,57.4,66.0,9020.1,74.0
GOLD,47,2,1,4,1,1,53.2,61.7,0.0,0.0,53.2,61.7,9722.0,141.8
HT,47,4,1,31,2,2,34.0,61.7,0.0,0.0,34.0,63.8,9596.8,151.8
INA,47,4,1,6,2,2,44.7,51.1,0.0,0.0,46.8,51.1,8731.6,135.8
JNAF,47,4,1,6,2,2,51.1,63.8,0.0,0.0,53.2,63.8,8675.7,466.2
JZRO,47,4,1,8,2,2,63.8,55.3,0.0,0.0,63.8,57.4,9303.5,201.4
KOTD,47,4,1,6,2,2,48.9,51.1,0.0,0.0,51.1,53.2,11429.5,384.1
KRAS,47,4,3,6,2,2,68.1,70.2,0.0,0.0,70.2,72.3,10065.0,526.7
KTST,47,4,1,8,2,2,38.3,59.6,0.0,0.0,40.4,61.7,8761.7,64.0
MDKA,47,4,1,8,2,2,63.8,68.1,0.0,0.0,68.1,68.1,10256.3,651.2
NGUP,47,4,1,8,2,2,29.8,66.0,0.0,0.0,31.9,66.0,9354.9,318.7
OIT,47,2,1,3,1,1,55.3,72.3,0.0,0.0,59.6,76.6,8647.5,435.7
SIMP,47,2,1,3,1,1,74.5,66.0,0.0,0.0,78.7,68.1,10027.3,24.1
XAG,47,4,3,6,2,2,44.7,38.3,0.0,0.0,46.8,40.4,9358.7,306.8
XFR,47,4,1,14,2,2,42.6,42.6,0.0,0.0,51.1,42.6,9200.3,56.6
ZABA,47,2,2,3,1,1,80.9,83.0,0.0,0.0,87.2,83.0,7594.5,122.3
ZITO,47,2,2,3,1,1,89.4,85.1,0.0,0.0,89.4,85.1,9483.9,53.9
