instrument,n,"corr(skew, dmid_+5)","corr(depth_imb, dmid_+5)",skew_std,imb_std
INA,42,,0.487,0.0,0.217
GOLD,42,,0.354,0.0,0.117
KTST,42,,0.351,0.0,0.175
FSR,42,,0.183,0.0,0.152
JNAF,42,,0.136,0.0,0.168
NGUP,42,,0.132,0.0,0.182
DLKV,42,,0.105,0.0,0.133
ETFA,42,,0.087,0.0,0.229
KOTD,42,,0.079,0.0,0.169
KRAS,42,,0.064,0.0,0.124
XFR,42,,0.044,0.0,0.214
ETFB,42,,-0.019,0.0,0.201
CARD,42,,-0.019,0.0,0.106
JZRO,42,,-0.036,0.0,0.192
MDKA,42,,-0.051,0.0,0.093
ZABA,42,,-0.053,0.0,0.059
DDJH,42,,-0.061,0.0,0.045
SIMP,42,,-0.1,0.0,0.128
XAG,42,,-0.116,0.0,0.191
ZITO,42,,-0.125,0.0,0.041
HT,42,,-0.147,0.0,0.237
OIT,42,,-0.174,0.0,0.096
ETFA3,42,,-0.187,0.0,0.303
ETFB3,42,,-0.267,0.0,0.102
ETFSH,42,,-0.38,0.0,0.203
