exchange,instrument,n_snaps,spread_med_c,spread_max_c,tick_step,bid_clean_pct,ask_clean_pct,bid_stacked_pct,ask_stacked_pct,mid_mean,mid_std,imb_corr_h5
Euronext,CARD,178,2,124,1,32.0,38.8,28.1,34.8,9862.5,205.1,0.095
Euronext,DDJH,178,2,4,1,74.7,75.8,74.2,75.3,8289.4,302.6,0.027
Euronext,ETFA,178,4,6,2,51.7,47.8,50.6,44.9,9044.8,90.3,-0.113
Euronext,ETFSH,178,2,3,1,44.9,53.9,39.9,53.4,9573.9,124.6,-0.103
Euronext,GOLD,178,2,3,1,60.1,58.4,59.6,58.4,9692.6,166.5,-0.079
Euronext,INA,178,4,8,2,57.3,55.1,54.5,55.1,8779.1,102.7,0.076
Euronext,JNAF,178,4,17,2,41.6,43.3,32.0,33.1,8785.2,518.6,-0.012
Euronext,JZRO,178,4,32,2,48.3,45.5,38.2,36.0,9425.9,390.4,0.055
Euronext,KOTD,178,4,35,2,61.2,47.8,60.7,44.9,11273.9,361.1,0.036
Euronext,KRAS,178,4,8,2,46.1,55.6,39.3,47.8,9999.3,558.2,0.038
Euronext,NGUP,178,4,8,2,36.0,55.6,34.8,55.1,9336.0,362.4,0.002
Euronext,OIT,178,2,4,1,67.4,57.3,66.9,55.6,8684.4,482.3,0.073
Euronext,SIMP,178,2,6,1,51.1,46.1,46.6,41.6,9985.3,54.9,-0.105
Euronext,XAG,178,4,6,2,50.6,44.9,48.9,44.4,9429.8,341.1,0.132
Euronext,ZITO,178,2,3,1,66.3,64.0,66.3,64.0,9508.3,40.1,0.038
HKEX,CARD,104,2,5,1,36.5,45.2,35.6,43.3,9859.9,254.2,-0.05
HKEX,DLKV,104,2,7,1,63.5,40.4,63.5,40.4,8711.9,126.5,0.036
HKEX,ETFA,104,4,8,2,52.9,39.4,48.1,36.5,9053.6,116.4,-0.235
HKEX,ETFB,104,2,4,1,47.1,39.4,44.2,34.6,9214.6,49.5,-0.081
HKEX,ETFB3,104,2,4,1,22.1,43.3,17.3,42.3,9618.1,185.5,0.051
HKEX,FSR,104,4,8,2,58.7,64.4,55.8,63.5,9023.1,81.0,-0.021
HKEX,INA,104,4,8,2,46.2,44.2,44.2,43.3,8776.1,183.0,0.042
HKEX,JNAF,104,4,6,2,50.0,66.3,50.0,66.3,8593.7,530.9,0.015
HKEX,KOTD,104,4,8,2,52.9,40.4,51.9,38.5,11311.0,251.8,0.027
HKEX,MDKA,104,4,8,2,48.1,56.7,47.1,56.7,10299.3,940.2,-0.072
HKEX,OIT,104,2,3,1,67.3,69.2,67.3,69.2,8615.3,444.4,-0.059
HKEX,SIMP,104,2,27,1,61.5,61.5,55.8,60.6,9986.6,35.0,-0.006
HKEX,XFR,104,4,6,2,57.7,52.9,56.7,52.9,9165.8,22.2,-0.23
JPX,CARD,674,2,6,1,47.3,56.4,43.5,50.4,9977.9,332.4,0.02
JPX,ETFSH,674,2,4,1,39.0,35.2,35.2,31.9,9519.5,103.3,-0.138
JPX,GOLD,674,2,10,1,56.7,58.9,54.7,56.2,9767.3,245.7,0.04
JPX,HT,674,4,8,2,58.8,65.1,58.0,64.4,9649.6,149.6,-0.021
JPX,JNAF,674,4,6,2,62.0,60.8,60.8,59.1,8525.8,572.8,-0.034
JPX,KTST,674,4,8,2,58.3,61.0,57.9,60.2,8719.7,74.2,-0.08
JPX,SIMP,674,2,111,1,62.2,64.7,55.6,54.3,9995.5,35.8,-0.122
JPX,XAG,674,4,8,2,46.0,43.8,45.0,42.4,9279.8,338.9,-0.072
LSE,CARD,125,3,5,1,30.4,35.2,21.6,30.4,10085.0,280.7,-0.103
LSE,DDJH,125,2,5,1,60.8,68.0,59.2,67.2,8205.2,234.0,-0.07
LSE,DLKV,125,2,4,1,52.0,59.2,50.4,54.4,8746.6,98.0,-0.12
LSE,ETFB,125,2,4,1,26.4,35.2,24.0,31.2,9210.3,56.3,-0.056
LSE,FSR,125,4,6,2,46.4,38.4,46.4,38.4,9016.6,88.7,0.132
LSE,HT,125,4,8,2,55.2,57.6,48.8,52.0,9589.5,115.5,0.073
LSE,JZRO,125,4,41,2,48.0,54.4,44.8,48.0,9615.1,475.6,-0.077
LSE,KOTD,125,4,8,2,43.2,52.8,43.2,52.0,11338.9,156.9,-0.225
LSE,MDKA,125,4,8,2,44.0,52.8,40.8,49.6,10638.3,659.2,0.176
LSE,OIT,125,2,4,1,65.6,84.0,64.0,83.2,8582.6,352.2,0.131
LSE,SIMP,125,2,4,1,44.8,63.2,44.8,57.6,9980.4,41.9,-0.148
LSE,XAG,125,4,6,2,52.8,48.8,52.8,48.8,9237.4,318.4,-0.037
LSE,ZABA,125,2,20,1,46.4,56.0,43.2,50.4,7659.0,146.4,-0.179
LSE,ZITO,125,2,4,1,55.2,72.0,53.6,69.6,9524.8,61.6,-0.126
