instrument,venue_a,venue_b,n,diff_mean_c,diff_std_c,diff_max_abs_c,abs_diff_>spread_%
CARD,NSE,NYSE,2793,-404.37,667.58,2188.0,97.6
CARD,NYSE,ZSE,2727,590.74,734.84,2144.0,99.2
CARD,Euronext,NYSE,2806,-617.02,701.02,2022.0,98.7
CARD,JPX,NYSE,2796,-508.51,737.45,2017.0,96.9
CARD,NYSE,TMX,2152,725.89,831.25,1980.5,100.0
CARD,NYSE,SSE,2802,611.65,707.86,1949.0,98.6
CARD,NASDAQ,NYSE,2809,-630.83,709.19,1945.5,99.9
CARD,NSE,TMX,2152,165.38,714.5,1849.0,99.8
CARD,NASDAQ,NSE,2793,-229.74,490.75,1753.5,99.5
CARD,NSE,ZSE,2727,176.91,518.88,1749.0,99.2
CARD,LSE,NSE,2732,-148.58,533.21,1700.5,93.1
CARD,Euronext,NSE,2793,-215.28,453.2,1689.0,98.4
CARD,HKEX,NYSE,2797,-549.12,713.62,1652.5,99.6
CARD,NSE,SSE,2793,209.31,408.73,1551.5,97.7
CARD,HKEX,NSE,2793,-145.43,452.61,1548.5,99.5
CARD,LSE,NYSE,2732,-561.67,733.99,1525.0,98.8
CARD,JPX,NSE,2793,-104.64,448.9,1456.5,98.1
CARD,JPX,TMX,2152,40.73,478.61,1373.0,99.9
KRAS,NYSE,SSE,2802,-70.38,369.31,1224.0,98.2
KRAS,Euronext,NYSE,2806,98.76,392.87,1204.0,99.1
KRAS,SSE,TMX,2152,86.66,205.28,1202.0,98.4
MDKA,HKEX,ZSE,2727,-192.28,439.98,1198.0,100.0
KRAS,Euronext,TMX,2152,113.18,260.68,1182.0,90.0
KRAS,Euronext,SSE,2802,28.41,170.22,1163.0,98.4
KRAS,NYSE,ZSE,2727,-67.25,377.82,1125.5,98.9
MDKA,TMX,ZSE,2152,-263.89,438.45,1124.0,99.5
MDKA,LSE,ZSE,2727,-20.3,320.4,1123.0,99.9
MDKA,NYSE,ZSE,2727,-222.49,447.46,1117.0,100.0
KRAS,Euronext,ZSE,2727,32.09,106.49,1116.0,92.1
CARD,TMX,ZSE,2152,12.76,610.44,1112.5,99.6
KRAS,TMX,ZSE,2152,-88.7,227.67,1103.5,99.7
MDKA,LSE,NYSE,2732,201.76,324.27,1094.0,99.5
KRAS,SSE,ZSE,2727,4.37,130.81,1084.5,93.7
KRAS,NYSE,TMX,2152,-5.67,345.55,1066.0,99.8
JNAF,Euronext,ZSE,2727,-44.86,102.3,1041.0,91.1
JNAF,Euronext,JPX,2796,26.54,150.82,1036.0,98.9
MDKA,HKEX,NYSE,2797,32.47,294.5,1036.0,99.6
MDKA,HKEX,LSE,2732,-171.02,255.85,1003.0,99.8
JNAF,Euronext,HKEX,2797,3.17,147.55,1003.0,99.2
CARD,NASDAQ,TMX,2152,-55.23,482.85,1001.0,99.9
MDKA,NYSE,TMX,2152,-73.56,224.45,991.0,100.0
CARD,Euronext,TMX,2152,-79.68,435.98,990.5,100.0
CARD,JPX,SSE,2796,104.5,205.74,988.0,97.3
CARD,NASDAQ,ZSE,2727,-57.91,218.93,985.0,99.6
CARD,LSE,ZSE,2727,28.01,389.86,972.5,99.9
MDKA,HKEX,TMX,2152,18.45,222.09,958.5,99.9
CARD,JPX,ZSE,2727,70.3,339.81,956.0,99.7
JNAF,JPX,ZSE,2727,-74.04,111.57,945.0,98.9
JNAF,JPX,NYSE,2796,-112.47,270.08,941.0,93.5
JNAF,HKEX,JPX,2796,23.37,79.02,933.0,97.5
CARD,Euronext,ZSE,2727,-42.78,302.63,920.5,99.1
CARD,SSE,TMX,2152,-67.28,438.58,917.5,99.7
JNAF,HKEX,ZSE,2727,-49.07,115.89,912.0,99.4
CARD,Euronext,JPX,2796,-110.58,239.11,882.0,98.0
JNAF,Euronext,NYSE,2806,-85.5,289.6,858.0,98.4
CARD,LSE,NASDAQ,2732,85.85,249.82,852.5,100.0
CARD,HKEX,ZSE,2727,28.23,351.25,845.0,99.9
CARD,HKEX,JPX,2796,-40.78,236.49,842.5,97.6
CARD,Euronext,NASDAQ,2806,14.42,196.84,841.0,99.7
JZRO,Euronext,LSE,2732,74.49,171.29,840.0,100.0
JZRO,Euronext,TMX,2152,134.96,170.84,838.0,97.1
CARD,JPX,NASDAQ,2796,124.99,257.98,829.5,98.7
JNAF,HKEX,NYSE,2797,-89.06,260.83,822.0,99.5
CARD,Euronext,LSE,2732,-70.7,247.01,820.5,99.3
MDKA,LSE,TMX,2152,245.38,206.4,819.0,98.8
CARD,SSE,ZSE,2727,-38.2,318.28,785.0,99.8
JZRO,Euronext,NYSE,2806,84.28,224.93,778.0,97.0
JNAF,NYSE,ZSE,2727,44.11,274.12,767.0,99.9
CARD,JPX,LSE,2732,42.17,270.66,765.0,99.0
CARD,LSE,TMX,2152,26.34,302.25,754.0,100.0
CARD,LSE,SSE,2732,66.1,253.29,739.5,98.4
JZRO,Euronext,ZSE,2727,82.44,224.87,736.0,99.8
CARD,HKEX,SSE,2797,63.67,165.99,720.0,77.3
CARD,NASDAQ,SSE,2802,-20.59,234.49,703.5,90.8
CARD,HKEX,NASDAQ,2797,84.17,223.98,700.5,99.7
DDJH,TMX,ZSE,2152,-187.16,231.56,699.0,99.4
CARD,HKEX,TMX,2152,22.37,380.52,695.0,99.3
OIT,Euronext,HKEX,2797,-20.21,184.73,693.0,99.0
CARD,Euronext,SSE,2802,-6.21,186.39,693.0,99.1
OIT,HKEX,NSE,2793,75.7,241.38,682.0,98.6
JZRO,LSE,TMX,2152,98.2,112.75,680.0,83.5
OIT,Euronext,LSE,2732,-52.85,177.54,675.0,99.4
CARD,Euronext,HKEX,2797,-69.78,219.4,668.5,99.5
CARD,HKEX,LSE,2732,0.41,166.97,668.0,99.8
OIT,LSE,NSE,2732,109.29,222.27,664.0,99.1
OIT,HKEX,LSE,2732,-33.11,110.15,641.0,98.8
JZRO,LSE,NYSE,2732,12.98,230.78,620.0,100.0
OIT,NSE,ZSE,2727,-40.75,164.55,612.0,98.3
DDJH,Euronext,NYSE,2806,31.62,178.35,605.0,98.8
OIT,Euronext,NSE,2793,55.51,163.82,604.0,98.1
DDJH,NYSE,ZSE,2727,-123.34,223.25,604.0,99.4
NGUP,NASDAQ,ZSE,2727,-63.74,104.14,599.0,99.9
OIT,HKEX,ZSE,2727,35.47,174.35,596.0,100.0
JZRO,LSE,ZSE,2727,7.88,193.95,578.0,99.2
OIT,LSE,ZSE,2727,68.63,157.98,578.0,91.2
KOTD,Euronext,ZSE,2727,-48.36,121.89,552.0,99.6
OIT,Euronext,ZSE,2727,15.75,90.59,532.5,99.9
JZRO,NYSE,TMX,2152,22.24,156.54,510.0,99.8
DDJH,LSE,TMX,2152,149.22,168.05,504.0,99.7
GOLD,Euronext,JPX,2796,39.89,98.21,504.0,97.7
NGUP,Euronext,NYSE,2806,27.03,154.57,494.0,92.8
NGUP,NASDAQ,TMX,2152,41.18,206.45,486.0,99.2
KOTD,LSE,ZSE,2727,-50.91,161.15,485.0,99.8
NGUP,Euronext,TMX,2152,106.5,150.45,484.0,99.9
DDJH,Euronext,ZSE,2727,-93.55,161.77,480.0,99.1
KOTD,Euronext,NASDAQ,2806,-28.07,123.17,474.0,99.1
JZRO,TMX,ZSE,2152,-60.42,177.64,468.0,99.8
NGUP,TMX,ZSE,2152,-100.91,165.68,463.0,99.5
XAG,Euronext,LSE,2732,-20.42,54.74,454.0,98.4
XAG,Euronext,JPX,2796,-7.1,81.54,453.0,96.7
JZRO,NYSE,ZSE,2727,-5.23,174.39,447.0,99.9
KOTD,Euronext,LSE,2732,2.34,142.81,446.0,76.8
KOTD,LSE,NASDAQ,2732,-31.34,159.66,439.0,99.5
ETFSH,Euronext,ZSE,2727,33.21,123.64,435.5,99.2
GOLD,JPX,ZSE,2727,-29.88,90.79,433.0,97.9
XAG,JPX,LSE,2732,-14.82,79.88,428.0,96.9
XAG,JPX,ZSE,2727,6.21,118.7,427.0,97.9
DLKV,HKEX,NSE,2793,-94.28,116.63,419.5,99.7
DDJH,Euronext,LSE,2732,-52.57,127.46,415.0,99.5
KOTD,HKEX,ZSE,2727,-66.86,157.34,415.0,78.7
DLKV,HKEX,NASDAQ,2797,-49.25,101.88,412.5,98.8
ZABA,NSE,TMX,2152,113.42,144.4,412.0,97.7
NGUP,Euronext,NASDAQ,2806,83.75,143.16,409.0,99.4
DDJH,LSE,NYSE,2732,82.53,175.14,405.0,99.6
ETFA3,TMX,ZSE,2152,-40.43,108.72,400.0,99.4
INA,Euronext,NYSE,2806,46.4,107.61,397.0,99.4
ZABA,NSE,SSE,2793,71.07,99.52,397.0,97.8
INA,NASDAQ,NYSE,2809,41.8,125.5,396.0,98.0
GOLD,Euronext,ZSE,2727,10.09,54.03,394.0,98.4
GOLD,JPX,NASDAQ,2796,-46.94,106.55,392.0,97.4
XAG,Euronext,ZSE,2727,0.76,93.84,391.5,99.3
INA,Euronext,NASDAQ,2806,4.49,72.83,391.5,93.9
NGUP,NASDAQ,NYSE,2809,-56.93,223.04,388.0,100.0
DDJH,Euronext,TMX,2152,73.18,163.67,387.0,99.2
NGUP,Euronext,ZSE,2727,22.38,89.97,386.0,99.6
ETFSH,JPX,ZSE,2727,9.78,135.31,386.0,99.0
KOTD,Euronext,HKEX,2797,15.7,143.45,383.0,91.1
KOTD,NASDAQ,ZSE,2727,-19.22,122.45,381.0,100.0
INA,HKEX,NYSE,2797,2.82,125.32,380.0,98.5
ZABA,LSE,NSE,2732,-50.86,123.21,377.0,97.7
ETFA3,NYSE,ZSE,2727,18.43,120.05,375.0,99.7
INA,HKEX,NASDAQ,2797,-39.36,107.32,374.5,98.0
DDJH,NYSE,TMX,2152,45.36,169.83,371.0,100.0
KOTD,HKEX,NASDAQ,2797,-43.89,178.6,364.5,99.4
INA,Euronext,ZSE,2727,4.89,80.23,362.0,97.7
ZABA,NSE,ZSE,2727,36.58,94.66,361.5,97.4
INA,Euronext,HKEX,2797,43.52,112.46,360.0,100.0
DLKV,HKEX,ZSE,2727,-65.96,105.41,356.0,99.5
ETFSH,Euronext,JPX,2796,22.09,79.58,349.0,94.9
XAG,LSE,ZSE,2727,21.06,93.66,346.5,93.9
INA,NYSE,ZSE,2727,-41.49,144.41,345.5,98.8
INA,HKEX,ZSE,2727,-37.71,121.13,343.0,99.7
INA,NASDAQ,ZSE,2727,2.5,69.84,340.0,99.6
GOLD,Euronext,NASDAQ,2806,-7.08,60.63,336.0,98.4
DDJH,LSE,ZSE,2727,-40.54,101.83,333.0,98.6
NGUP,NYSE,TMX,2152,58.05,128.33,332.5,100.0
KOTD,HKEX,LSE,2732,-15.95,97.25,327.0,99.1
ZABA,LSE,SSE,2732,20.62,84.01,323.0,98.8
ZABA,LSE,ZSE,2727,-14.41,82.27,316.5,99.3
DLKV,HKEX,LSE,2732,-64.23,88.5,312.0,99.6
ZABA,LSE,TMX,2152,34.32,115.49,307.0,98.7
ZABA,NSE,NYSE,2793,50.47,118.3,299.0,98.1
ZABA,SSE,TMX,2152,33.9,113.39,294.0,99.9
NGUP,NYSE,ZSE,2727,-10.72,163.17,292.0,99.4
HT,JPX,LSE,2732,40.44,69.95,291.5,97.6
ETFA,HKEX,ZSE,2727,-34.07,83.38,290.0,99.9
HT,LSE,ZSE,2727,-61.71,74.25,290.0,89.0
DLKV,LSE,NSE,2732,-31.19,98.21,289.0,97.2
DLKV,NASDAQ,NSE,2793,-44.93,82.13,286.0,97.5
ZABA,SSE,ZSE,2727,-34.87,56.37,282.0,99.5
DLKV,LSE,NASDAQ,2732,13.69,100.07,282.0,99.0
ETFB3,NASDAQ,ZSE,2727,17.9,64.62,280.5,100.0
HT,JPX,NASDAQ,2796,28.77,66.11,276.5,96.9
DLKV,NSE,ZSE,2727,29.56,76.78,269.0,91.4
ETFB3,HKEX,NASDAQ,2797,-7.79,82.72,267.0,98.9
GOLD,NASDAQ,ZSE,2727,16.78,47.16,265.0,99.3
HT,JPX,TMX,2152,61.17,86.59,263.5,72.5
DLKV,NASDAQ,ZSE,2727,-15.25,64.72,255.5,99.4
ZABA,LSE,NYSE,2732,0.41,118.74,255.0,99.2
FSR,HKEX,ZSE,2727,-20.24,91.53,253.0,83.6
KTST,JPX,TMX,2152,9.27,77.43,252.0,95.8
KTST,JPX,ZSE,2727,-32.56,68.85,252.0,93.9
ZABA,TMX,ZSE,2152,-69.94,103.24,248.0,99.3
FSR,SSE,ZSE,2727,-24.45,85.46,247.0,99.7
ETFA,Euronext,ZSE,2727,-4.45,90.59,247.0,77.3
FSR,LSE,ZSE,2727,-17.16,83.86,238.0,81.7
ETFA,NYSE,ZSE,2727,-17.04,100.36,235.5,98.2
HT,TMX,ZSE,2152,-92.42,93.52,234.0,100.0
ETFA,HKEX,NYSE,2797,-17.53,101.38,234.0,99.9
ZABA,NYSE,SSE,2802,20.7,107.72,232.0,98.2
GOLD,JPX,TMX,2152,-9.44,59.43,230.0,97.4
KTST,JPX,NYSE,2796,-9.09,81.93,229.0,92.3
DLKV,LSE,ZSE,2727,-1.74,90.86,225.5,98.8
ETFB3,HKEX,ZSE,2727,10.19,99.72,224.0,100.0
HT,LSE,NASDAQ,2732,-11.91,40.74,222.0,94.2
ZABA,NYSE,TMX,2152,59.7,82.06,222.0,99.6
FSR,HKEX,LSE,2732,-3.05,54.04,221.0,86.9
ETFB,LSE,ZSE,2727,-37.03,66.63,219.5,98.5
KTST,TMX,ZSE,2152,-49.49,74.55,219.0,99.6
ETFB,NASDAQ,ZSE,2727,-5.33,54.51,218.5,99.6
GOLD,NASDAQ,TMX,2152,10.58,93.81,212.0,97.4
SIMP,Euronext,LSE,2732,-32.0,78.55,208.0,99.7
GOLD,TMX,ZSE,2152,2.56,79.59,205.0,99.8
ETFB,HKEX,ZSE,2727,-19.06,63.95,204.0,97.4
HT,SSE,TMX,2152,31.35,69.86,204.0,92.6
HT,JPX,SSE,2796,21.11,59.42,201.0,97.0
SIMP,LSE,NSE,2732,33.9,58.28,201.0,96.4
HT,NASDAQ,ZSE,2727,-49.79,73.4,200.0,100.0
GOLD,Euronext,TMX,2152,26.61,97.66,200.0,95.0
SIMP,Euronext,JPX,2796,-36.89,66.08,199.0,99.8
KTST,NYSE,ZSE,2727,-22.07,64.04,196.0,90.7
ETFB,LSE,NASDAQ,2732,-31.55,63.42,196.0,99.8
FSR,NASDAQ,ZSE,2727,-39.79,79.26,194.0,99.9
SIMP,JPX,NSE,2793,39.37,47.39,192.0,93.8
ETFB,HKEX,LSE,2732,17.9,27.75,189.5,97.8
ZABA,NYSE,ZSE,2727,-14.74,94.14,188.0,99.2
ETFA3,NYSE,TMX,2152,24.74,59.89,187.0,100.0
SIMP,LSE,SSE,2732,3.21,55.49,186.5,89.8
FSR,HKEX,SSE,2797,5.0,73.35,185.0,98.6
HT,NASDAQ,TMX,2152,41.87,75.54,184.0,99.9
SIMP,Euronext,SSE,2802,-27.85,49.27,184.0,88.9
KTST,NYSE,TMX,2152,18.71,56.01,183.0,99.5
HT,LSE,TMX,2152,20.64,60.34,183.0,99.9
SIMP,Euronext,HKEX,2797,-15.3,74.5,182.0,95.2
HT,LSE,SSE,2732,-17.77,52.98,177.0,98.6
ETFB,HKEX,NASDAQ,2797,-12.91,60.68,177.0,99.8
HT,JPX,ZSE,2727,-21.27,89.69,174.0,97.9
SIMP,Euronext,ZSE,2727,-41.3,54.38,173.0,97.1
SIMP,JPX,SSE,2796,8.98,35.47,172.0,96.7
XFR,NYSE,ZSE,2727,-18.75,55.98,171.0,65.7
ZITO,LSE,NSE,2732,-26.45,40.02,170.0,97.3
HT,SSE,ZSE,2727,-44.03,66.45,170.0,98.1
XFR,HKEX,TMX,2152,29.43,73.17,169.0,99.3
ETFA,Euronext,HKEX,2797,27.62,82.28,167.0,99.3
SIMP,JPX,ZSE,2727,-2.19,54.41,166.0,94.3
SIMP,NSE,SSE,2793,-30.34,49.75,164.0,96.8
SIMP,NSE,NYSE,2793,-19.84,55.68,162.5,94.2
HT,NASDAQ,SSE,2802,-7.8,61.91,162.0,97.4
ZITO,NSE,ZSE,2727,22.54,49.23,161.0,97.4
ZITO,Euronext,LSE,2732,-11.48,50.43,160.5,84.1
SIMP,Euronext,TMX,2152,-42.41,57.45,157.5,95.1
SIMP,LSE,NYSE,2732,14.31,73.5,156.0,96.3
XFR,HKEX,ZSE,2727,0.41,65.33,155.0,99.5
SIMP,LSE,NASDAQ,2732,16.56,75.76,154.0,99.2
SIMP,JPX,LSE,2732,6.94,39.08,150.5,96.7
SIMP,HKEX,LSE,2732,-14.92,58.84,150.0,99.4
FSR,HKEX,NASDAQ,2797,19.96,66.48,149.0,99.2
SIMP,HKEX,NYSE,2797,-2.14,60.38,148.0,99.3
SIMP,JPX,NASDAQ,2796,21.81,58.3,145.0,96.6
ZITO,Euronext,NSE,2793,-38.24,49.0,141.5,96.8
ZITO,Euronext,ZSE,2727,-15.41,60.01,141.0,97.2
ETFA,Euronext,NYSE,2806,9.71,71.34,141.0,98.5
SIMP,NSE,ZSE,2727,-43.13,46.44,140.0,98.5
XFR,NYSE,TMX,2152,4.13,67.76,140.0,99.8
FSR,LSE,NASDAQ,2732,22.69,53.02,140.0,81.4
SIMP,NSE,TMX,2152,-23.04,44.19,139.0,98.9
SIMP,NASDAQ,NSE,2793,17.49,56.88,139.0,90.3
XFR,HKEX,NYSE,2797,20.22,41.17,137.0,97.1
SIMP,LSE,ZSE,2727,-9.08,67.86,133.5,94.0
FSR,LSE,SSE,2732,7.35,50.19,130.0,98.4
XFR,TMX,ZSE,2152,-3.88,63.9,130.0,75.9
SIMP,JPX,NYSE,2796,19.45,61.11,129.0,92.0
SIMP,Euronext,NASDAQ,2806,-15.08,45.71,128.0,92.5
SIMP,Euronext,NSE,2793,2.4,70.17,128.0,97.9
SIMP,Euronext,NYSE,2806,-17.48,47.42,127.0,97.8
SIMP,HKEX,ZSE,2727,-24.06,42.31,125.5,98.2
SIMP,HKEX,NASDAQ,2797,0.22,56.4,125.0,79.2
SIMP,SSE,ZSE,2727,-12.41,44.94,124.5,97.5
SIMP,SSE,TMX,2152,0.49,46.79,124.5,98.3
ZITO,NASDAQ,NSE,2793,-25.63,34.92,122.0,95.5
SIMP,HKEX,NSE,2793,17.81,41.92,121.0,97.9
