etf,exchange,n_basket_present,n_basket_required,n_aligned,diff_mean_c,diff_std_c,diff_max_abs_c,abs_gap_>10c_%
ETFA,ZSE,6,6,47,9.39,62.78,124.92,89.4
ETFA3,NYSE,3,3,406,-7.87,44.82,232.0,86.2
ETFA3,TMX,3,3,105,-5.33,33.68,77.83,74.3
ETFA3,ZSE,3,3,47,-19.4,90.81,202.5,85.1
ETFB,ZSE,6,6,47,3.71,49.3,120.17,66.0
ETFB3,HKEX,3,3,104,18.42,55.42,114.0,84.6
ETFB3,NASDAQ,3,3,83,0.61,34.38,88.0,77.1
ETFB3,ZSE,3,3,47,2.93,56.8,126.0,78.7
ETFSH,Euronext,2,2,178,12.73,38.68,97.75,82.6
ETFSH,JPX,2,2,674,-4.04,44.67,158.0,80.3
ETFSH,ZSE,2,2,47,-37.93,95.14,335.25,87.2
