time,instrument,price,quantity,passive_order_id,active_order_id
595768,Euronext-NGUP,10462,4,69128,69426
595768,Euronext-NGUP,10460,4,69099,69426
595768,Euronext-NGUP,10460,6,69099,69427
595770,Euronext-JNAF,9453,50,69095,69431
595770,Euronext-JNAF,9453,40,69095,69433
595770,Euronext-JNAF,9453,50,69344,69433
595770,Euronext-JNAF,9451,10,69097,69433
595770,Euronext-JNAF,9451,150,69097,69435
595770,Euronext-JNAF,9451,90,69097,69437
595770,Euronext-JNAF,9451,100,69346,69437
595770,Euronext-JNAF,9450,10,69420,69437
595770,Euronext-JNAF,9450,40,69420,69439
595772,Euronext-NGUP,10460,50,69099,69429
595772,Euronext-NGUP,10460,90,69099,69431
595773,Euronext-SIMP,10046,4,74777,74947
595774,Euronext-SIMP,10054,4,74947,74957
595774,Euronext-CARD,9444,10,84265,84275
595793,Euronext-DDJH,10013,8,69603,69614
595793,Euronext-ZITO,9768,5,67916,67926
595845,Euronext-CARD,9444,4,84265,84277
595845,Euronext-JZRO,10969,4,69216,69225
595845,Euronext-NGUP,10460,4,69431,69438
595845,Euronext-ZITO,9768,4,67916,67927
595861,Euronext-GOLD,10415,50,71233,71246
595861,Euronext-JZRO,10969,10,69216,69226
595861,Euronext-ZITO,9768,10,67916,67928
595861,Euronext-ZITO,9768,10,67916,67929
595862,Euronext-ZITO,9768,10,67916,67930
595862,Euronext-ZITO,9768,11,67916,67931
595862,Euronext-OIT,10374,5,67890,67900
595865,Euronext-KRAS,10178,1,68132,68142
595866,Euronext-CARD,9444,50,84276,84280
595866,Euronext-DDJH,9998,50,69615,69619
595866,Euronext-DDJH,9984,4,69616,69621
595867,Euronext-JNAF,9448,50,69422,69442
595867,Euronext-JNAF,9448,50,69422,69444
595867,Euronext-JNAF,9446,50,69424,69444
595868,Euronext-KRAS,10178,4,68141,68143
595868,Euronext-KRAS,10194,4,68030,68143
595869,Euronext-XAG,10101,5,70496,70499
595869,Euronext-XAG,10092,4,70355,70499
595869,Euronext-XAG,10081,4,70302,70499
595898,Euronext-ETFA,10605,20,70818,70827
595933,Euronext-JZRO,10987,7,69227,69238
595942,Euronext-DDJH,9981,10,69621,69628
595960,Euronext-INA,10263,5,69024,69034
595965,Euronext-XAG,10076,7,70498,70508
595965,Euronext-KOTD,8490,4,69941,69951
595965,Euronext-DDJH,9981,4,69621,69629
595965,Euronext-XAG,10080,3,70499,70509
595967,Euronext-JNAF,9448,50,69446,69451
595967,Euronext-JNAF,9448,100,69446,69453
595967,Euronext-JNAF,9450,150,69448,69455
595967,Euronext-JNAF,9450,50,69448,69457
595967,Euronext-JZRO,11002,4,69019,69239
595970,Euronext-ZITO,9770,50,67853,67943
595975,Euronext-ETFA,10605,20,70829,70838
595997,Euronext-DDJH,9989,5,69631,69640
596032,Euronext-ZITO,9769,5,67945,67953
596040,Euronext-INA,10258,5,69035,69045
596063,Euronext-ETFSH,10174,5,72017,72026
596063,Euronext-GOLD,10417,8,71258,71267
596068,Euronext-SIMP,10054,4,74978,74979
596068,Euronext-SIMP,10057,4,74752,74979
596069,Euronext-ZITO,9771,50,67855,67954
596091,Euronext-ETFSH,10174,45,72017,72027
596091,Euronext-ETFSH,10176,3,72019,72027
596091,Euronext-GOLD,10413,24,71269,71278
596109,Euronext-CARD,9463,4,84299,84309
596109,Euronext-GOLD,10413,4,71269,71279
596109,Euronext-KRAS,10184,4,68163,68174
596109,Euronext-XAG,10085,4,70521,70530
596109,Euronext-ZITO,9770,4,67956,67964
596116,Euronext-ZITO,9770,5,67956,67965
596140,Euronext-DDJH,10041,50,69641,69653
596140,Euronext-ETFSH,10176,50,72019,72028
596165,Euronext-ETFA,10605,50,70849,70850
596165,Euronext-ETFA,10613,50,70816,70852
596165,Euronext-KRAS,10184,1,68163,68175
596165,Euronext-INA,10243,2,69047,69059
596166,Euronext-CARD,9464,50,84310,84311
596166,Euronext-CARD,9517,4,83733,84313
596166,Euronext-CARD,9523,10,83632,84313
596166,Euronext-CARD,9523,4,83648,84313
596166,Euronext-CARD,9628,50,82748,84313
596166,Euronext-DDJH,10017,4,69652,69655
596167,Euronext-GOLD,10410,4,71245,71281
596167,Euronext-GOLD,10402,5,71244,71281
596167,Euronext-GOLD,10388,4,71220,71281
596167,Euronext-JNAF,9461,50,69462,69471
596168,Euronext-JZRO,11019,46,69262,69263
596168,Euronext-KRAS,10206,4,66515,68176
596170,Euronext-OIT,10395,4,66723,67933
596170,Euronext-OIT,10397,4,66711,67933
596171,Euronext-ZITO,9771,50,67855,67966
596171,Euronext-ZITO,9775,100,67791,67968
596171,Euronext-ZITO,9775,100,67791,67970
596171,Euronext-ZITO,9776,50,67793,67970
596171,Euronext-ZITO,9776,200,67793,67972
596171,Euronext-DDJH,10000,46,69655,69664
596171,Euronext-DDJH,10001,4,69657,69664
596171,Euronext-KRAS,10211,42,68176,68186
596171,Euronext-XAG,10069,10,70532,70541
596171,Euronext-ZITO,9777,10,67974,67976
596171,Euronext-KRAS,10211,4,68176,68187
596171,Euronext-KRAS,10209,1,68178,68187
596185,Euronext-INA,10260,5,69060,69072
596197,Euronext-ETFSH,10170,48,72029,72039
596197,Euronext-GOLD,10381,24,71280,71290
596209,Euronext-KRAS,10209,5,68178,68188
596209,Euronext-ZITO,9777,5,67974,67977
596236,Euronext-CARD,9661,5,84313,84321
596241,Euronext-CARD,9661,10,84313,84322
596241,Euronext-CARD,9661,17,84313,84323
596241,Euronext-CARD,9660,29,84315,84323
596241,Euronext-ETFA,10615,50,70852,70862
596242,Euronext-GOLD,10385,22,71281,71291
596242,Euronext-JZRO,11028,4,69263,69275
596242,Euronext-JZRO,11026,46,69265,69275
596242,Euronext-SIMP,10033,27,74990,75000
596242,Euronext-XAG,10069,10,70532,70544
596268,Euronext-XAG,10065,2,70531,70547
596268,Euronext-INA,10264,5,69061,69074
596268,Euronext-NGUP,10487,5,69472,69484
596268,Euronext-XAG,10069,5,70532,70548
596270,Euronext-JNAF,9460,50,69457,69482
596270,Euronext-JNAF,9460,100,69457,69484
596270,Euronext-JNAF,9459,100,69473,69486
596270,Euronext-JNAF,9458,50,69459,69486
596270,Euronext-JNAF,9458,200,69459,69488
596270,Euronext-JNAF,9457,50,69461,69490
596270,Euronext-JNAF,9457,150,69475,69490
596270,Euronext-JNAF,9455,50,69463,69490
596274,Euronext-ZITO,9777,10,67979,67989
596274,Euronext-ETFSH,10174,4,72042,72051
596274,Euronext-DDJH,10026,50,69668,69678
596274,Euronext-CARD,9640,4,84324,84334
596274,Euronext-DDJH,10030,4,69669,69679
596274,Euronext-GOLD,10380,4,71293,71303
596274,Euronext-KRAS,10207,4,68190,68200
596274,Euronext-XAG,10084,4,70550,70560
596285,Euronext-INA,10283,5,69075,69085
596290,Euronext-ETFSH,10174,8,72042,72052
596294,Euronext-ZITO,9777,5,67979,67990
596306,Euronext-KOTD,8511,2,69983,69992
596306,Euronext-KRAS,10207,6,68190,68201
596306,Euronext-KOTD,8511,41,69983,69993
596309,Euronext-ZITO,9777,10,67979,67991
596340,Euronext-GOLD,10380,10,71293,71305
596360,Euronext-INA,10283,10,69075,69086
596361,Euronext-ZITO,9777,4,67979,67992
596366,Euronext-JNAF,9455,4,69463,69491
596366,Euronext-DDJH,10030,3,69669,69680
596366,Euronext-GOLD,10380,5,71293,71306
596367,Euronext-CARD,9660,10,84335,84345
596368,Euronext-JNAF,9455,46,69463,69493
596368,Euronext-JNAF,9455,4,69477,69493
596368,Euronext-JNAF,9455,100,69477,69495
596368,Euronext-JNAF,9455,96,69477,69497
596368,Euronext-JNAF,9453,54,69465,69497
596368,Euronext-JNAF,9453,96,69465,69499
596368,Euronext-JNAF,9453,104,69479,69499
596368,Euronext-JNAF,9453,146,69479,69501
596368,Euronext-JNAF,9451,104,69467,69501
596370,Euronext-NGUP,10478,4,69495,69497
596371,Euronext-XAG,10081,5,70562,70563
596371,Euronext-ZITO,9770,50,67978,67994
596372,Euronext-CARD,9673,5,84345,84355
596386,Euronext-GOLD,10377,15,71308,71317
596386,Euronext-ETFSH,10174,50,72054,72063
596396,Euronext-ETFA,10619,7,70875,70884
596398,Euronext-GOLD,10377,4,71308,71318
596408,Euronext-INA,10287,3,69087,69097
596436,Euronext-CARD,9673,5,84345,84356
596440,Euronext-CARD,9673,30,84345,84357
596440,Euronext-CARD,9672,16,84347,84357
596445,Euronext-GOLD,10376,36,71319,71320
596445,Euronext-XAG,10098,38,70563,70573
596464,Euronext-KRAS,10187,42,68203,68213
596466,Euronext-DDJH,10019,9,69682,69693
596469,Euronext-KRAS,10184,50,68189,68215
596470,Euronext-OIT,10383,50,67943,67966
596471,Euronext-ZITO,9782,5,68006,68016
596473,Euronext-ETFSH,10170,47,72040,72076
596473,Euronext-ETFSH,10170,3,72064,72076
596484,Euronext-DDJH,10018,5,69695,69704
596489,Euronext-ETFSH,10174,10,72067,72077
596490,Euronext-GOLD,10383,5,71321,71331
596490,Euronext-XAG,10081,5,70574,70584
596509,Euronext-CARD,9663,10,84358,84370
596519,Euronext-SIMP,10033,4,75022,75033
596528,Euronext-ETFSH,10174,38,72067,72078
596528,Euronext-CARD,9663,5,84358,84371
596560,Euronext-INA,10294,20,69098,69108
596560,Euronext-JNAF,9454,20,69502,69512
596560,Euronext-XAG,10085,20,70575,70585
596560,Euronext-ZITO,9782,10,68006,68017
596560,Euronext-INA,10294,10,69098,69109
596560,Euronext-INA,10294,10,69098,69110
596561,Euronext-ZITO,9782,5,68006,68018
596561,Euronext-ZITO,9782,5,68006,68019
596564,Euronext-CARD,9672,10,84368,84372
596564,Euronext-CARD,9676,40,82726,84372
596564,Euronext-DDJH,10030,50,69692,69706
596604,Euronext-CARD,9678,4,84374,84382
596604,Euronext-ETFA,10619,4,70885,70906
596615,Euronext-CARD,9678,5,84374,84383
596662,Euronext-CARD,9678,1,84374,84384
596665,Euronext-KOTD,8467,8,70017,70027
596666,Euronext-DDJH,10030,4,69717,69723
596667,Euronext-JNAF,9458,50,69516,69523
596667,Euronext-JNAF,9458,50,69516,69525
596667,Euronext-JNAF,9460,50,69518,69525
596667,Euronext-JNAF,9460,100,69518,69527
596667,Euronext-JNAF,9462,50,69507,69527
596667,Euronext-JNAF,9462,100,69507,69529
596667,Euronext-JNAF,9462,100,69520,69529
596667,Euronext-JNAF,9462,100,69520,69531
596667,Euronext-JNAF,9463,100,69464,69531
596667,Euronext-JNAF,9464,50,69509,69531
596667,Euronext-JZRO,11032,50,69296,69317
596668,Euronext-NGUP,10484,50,69503,69527
596668,Euronext-NGUP,10484,100,69503,69529
596668,Euronext-NGUP,10484,50,69503,69531
596669,Euronext-SIMP,10029,10,74999,75045
596696,Euronext-ETFSH,10174,2,72090,72099
596696,Euronext-GOLD,10400,1,71347,71357
596697,Euronext-OIT,10388,10,67985,67995
596697,Euronext-CARD,9635,50,84385,84396
596698,Euronext-DDJH,10016,25,69723,69734
596729,Euronext-DDJH,10016,5,69723,69735
596738,Euronext-ETFA,10615,20,70907,70917
596738,Euronext-KOTD,8473,10,70029,70040
596745,Euronext-ETFSH,10174,48,72090,72100
596759,Euronext-GOLD,10400,49,71347,71358
596760,Euronext-DDJH,10016,10,69723,69736
596760,Euronext-ZITO,9771,10,68032,68044
596764,Euronext-ETFSH,10218,5,72101,72111
596764,Euronext-KOTD,8469,11,70028,70042
596764,Euronext-ETFA,10615,8,70918,70928
596765,Euronext-JNAF,9464,50,69509,69534
596766,Euronext-KOTD,8459,4,69940,70044
596766,Euronext-NGUP,10487,50,69505,69537
596766,Euronext-NGUP,10487,100,69505,69539
596766,Euronext-NGUP,10487,100,69505,69541
596766,Euronext-NGUP,10489,50,69492,69541
596766,Euronext-NGUP,10489,150,69492,69543
