time,instrument,order_id,expired
1545447,HKEX-OIT,282689,False
1545455,HKEX-ETFB3,240772,False
1545455,HKEX-ETFB3,240771,False
1545455,HKEX-ETFB3,240770,False
1545455,HKEX-ETFB3,240769,False
1545455,HKEX-ETFB3,240767,False
1545455,HKEX-ETFB3,240763,False
1545457,HKEX-ETFB3,240765,False
1545460,HKEX-ETFB3,240768,False
1545471,HKEX-ETFB,259703,False
1545471,HKEX-ETFB,259702,False
1545471,HKEX-ETFB,259701,False
1545471,HKEX-ETFB,259700,False
1545471,HKEX-ETFB,259698,False
1545471,HKEX-ETFB,259696,False
1545479,HKEX-ETFA,245150,False
1545479,HKEX-ETFA,245149,False
1545479,HKEX-ETFA,245148,False
1545479,HKEX-ETFA,245147,False
1545479,HKEX-ETFA,245145,False
1545479,HKEX-ETFA,245143,False
1545481,HKEX-ETFA,245146,False
1545484,HKEX-ETFA,245144,False
1545484,HKEX-ETFA,245142,False
1545496,HKEX-CARD,387195,False
1545496,HKEX-CARD,387194,False
1545496,HKEX-CARD,387192,False
1545500,HKEX-CARD,387197,False
1545500,HKEX-CARD,387196,False
1545500,HKEX-CARD,387188,False
1545501,HKEX-CARD,387190,False
1545506,HKEX-DLKV,273896,False
1545506,HKEX-DLKV,273895,False
1545506,HKEX-DLKV,273894,False
1545506,HKEX-DLKV,273892,False
1545506,HKEX-DLKV,273890,False
1545506,HKEX-DLKV,273893,False
1545506,HKEX-DLKV,273891,False
1545507,HKEX-DLKV,273887,False
1545507,HKEX-DLKV,273889,False
1545513,HKEX-FSR,287982,False
1545513,HKEX-FSR,287980,False
1545513,HKEX-FSR,287977,False
1545513,HKEX-FSR,287985,False
1545513,HKEX-FSR,287984,False
1545513,HKEX-FSR,287983,False
1545513,HKEX-FSR,287981,False
1545513,HKEX-FSR,287979,False
1545513,HKEX-FSR,287978,False
1545517,HKEX-INA,266108,False
1545517,HKEX-INA,266107,False
1545517,HKEX-INA,266106,False
1545517,HKEX-INA,266105,False
1545517,HKEX-INA,266104,False
1545517,HKEX-INA,266103,False
1545517,HKEX-INA,266101,False
1545518,HKEX-INA,266102,False
1545518,HKEX-INA,266109,False
1545519,HKEX-INA,266110,False
1545523,HKEX-JNAF,264498,False
1545523,HKEX-JNAF,264492,False
1545523,HKEX-JNAF,264490,False
1545523,HKEX-JNAF,264493,False
1545524,HKEX-JNAF,264489,False
1545525,HKEX-JNAF,264497,False
1545525,HKEX-JNAF,264491,False
1545526,HKEX-JNAF,264495,False
1545527,HKEX-JNAF,264494,False
1545528,HKEX-JNAF,264496,False
1545532,HKEX-KOTD,265602,False
1545532,HKEX-KOTD,265601,False
1545532,HKEX-KOTD,265598,False
1545532,HKEX-KOTD,265605,False
1545532,HKEX-KOTD,265604,False
1545532,HKEX-KOTD,265603,False
1545533,HKEX-KOTD,265600,False
1545533,HKEX-KOTD,265606,False
1545533,HKEX-KOTD,265607,False
1545533,HKEX-KOTD,265599,False
1545537,HKEX-MDKA,291401,False
1545537,HKEX-MDKA,291399,False
1545537,HKEX-MDKA,291397,False
1545537,HKEX-MDKA,291395,False
1545537,HKEX-MDKA,291404,False
1545537,HKEX-MDKA,291403,False
1545537,HKEX-MDKA,291402,False
1545537,HKEX-MDKA,291400,False
1545537,HKEX-MDKA,291398,False
1545540,HKEX-OIT,282667,False
