time,instrument,price,quantity,passive_order_id,active_order_id
477513,HKEX-MDKA,11817,42,82962,82975
477513,HKEX-MDKA,11815,68,82964,82975
477513,HKEX-ETFB,11002,10,65648,73382
477513,HKEX-MDKA,11825,50,82959,82976
477513,HKEX-CARD,8822,6,94411,94423
477514,HKEX-INA,10472,10,81661,81670
477514,HKEX-INA,10472,10,81661,81671
477514,HKEX-INA,10468,10,81660,81672
477514,HKEX-JNAF,11485,10,75097,75107
477514,HKEX-ETFB,11003,50,73373,73385
477514,HKEX-ETFB,11005,100,73375,73385
477514,HKEX-ETFB,11006,10,65801,73385
477514,HKEX-CARD,8822,24,94411,94424
477514,HKEX-CARD,8821,100,94413,94424
477514,HKEX-CARD,8820,36,94415,94424
477514,HKEX-MDKA,11825,40,82976,82977
477514,HKEX-MDKA,11815,2,82964,82977
477514,HKEX-ETFA,10332,10,71814,72039
477517,HKEX-FSR,10437,5,75810,75836
477517,HKEX-MDKA,11815,42,82964,82980
477529,HKEX-INA,10456,5,81658,81674
477535,HKEX-CARD,8825,12,94425,94435
477535,HKEX-CARD,8825,6,94425,94436
477547,HKEX-ETFA,10332,5,71814,72050
477547,HKEX-ETFA,10332,2,72041,72050
477553,HKEX-CARD,8825,10,94425,94437
477567,HKEX-ETFB3,10714,1,76340,76350
477567,HKEX-JNAF,11466,2,75109,75118
477574,HKEX-SIMP,10025,8,85324,85336
477574,HKEX-CARD,8825,8,94425,94440
477575,HKEX-OIT,9557,8,71335,71345
477575,HKEX-DLKV,10763,8,81785,81794
477575,HKEX-INA,10449,1,81674,81683
477608,HKEX-ETFA,10332,10,72041,72051
477608,HKEX-ETFB,11006,10,73107,73396
477613,HKEX-ETFA,10332,10,72041,72053
477613,HKEX-JNAF,11466,5,75109,75119
477613,HKEX-JNAF,11462,3,75108,75120
477613,HKEX-SIMP,10025,10,85324,85337
477613,HKEX-OIT,9557,42,71335,71346
477613,HKEX-OIT,9558,100,71337,71346
477613,HKEX-OIT,9559,15,71339,71346
477613,HKEX-SIMP,10025,10,85324,85338
477613,HKEX-SIMP,10025,22,85324,85339
477613,HKEX-SIMP,10024,100,85326,85339
477613,HKEX-SIMP,10023,38,85328,85339
477614,HKEX-INA,10445,10,81673,81684
477614,HKEX-SIMP,10023,112,85328,85340
477614,HKEX-SIMP,10022,48,85330,85340
477614,HKEX-INA,10449,10,81674,81685
477614,HKEX-SIMP,10022,8,85330,85341
477614,HKEX-INA,10445,10,81673,81686
477614,HKEX-JNAF,11462,4,75108,75121
477614,HKEX-INA,10449,10,81674,81687
477615,HKEX-DLKV,10763,10,81785,81795
477615,HKEX-ETFA,10332,10,72041,72054
477626,HKEX-XFR,10093,9,76393,76402
477626,HKEX-OIT,9555,8,71334,71348
477633,HKEX-SIMP,10030,10,85321,85342
477635,HKEX-CARD,8864,10,94441,94451
477636,HKEX-CARD,8864,10,94441,94452
477656,HKEX-DLKV,10767,8,81797,81807
477659,HKEX-SIMP,10038,8,85342,85352
477665,HKEX-CARD,8864,10,94441,94457
477671,HKEX-SIMP,10038,32,85342,85353
477671,HKEX-SIMP,10037,18,85344,85353
477678,HKEX-JNAF,11485,50,75122,75135
477678,HKEX-XFR,10106,50,76403,76416
477683,HKEX-FSR,10425,50,75862,75874
477693,HKEX-MDKA,11697,6,82994,83006
477694,HKEX-CARD,8864,10,94441,94458
477712,HKEX-FSR,10421,50,75861,75875
477712,HKEX-ETFB3,10712,50,76353,76362
477712,HKEX-MDKA,11697,44,82994,83007
477712,HKEX-SIMP,10037,5,85344,85356
477712,HKEX-ETFA,10335,10,72056,72066
477713,HKEX-ETFB,11007,10,73400,73409
477713,HKEX-SIMP,10037,10,85344,85357
477713,HKEX-CARD,8864,10,94441,94459
477713,HKEX-DLKV,10763,1,81796,81809
477713,HKEX-OIT,9582,50,71350,71366
477713,HKEX-OIT,9583,100,71352,71366
477713,HKEX-OIT,9584,10,71354,71366
477713,HKEX-SIMP,10037,10,85344,85358
477713,HKEX-FSR,10427,10,75864,75877
477713,HKEX-OIT,9580,10,71349,71367
477713,HKEX-JNAF,11489,10,75123,75136
477713,HKEX-CARD,8865,10,94041,94463
477713,HKEX-ETFA,10335,10,72056,72067
477713,HKEX-ETFB,11007,10,73400,73410
477720,HKEX-ETFB3,10712,50,76362,76364
477726,HKEX-ETFB,11007,1,73412,73421
477735,HKEX-DLKV,10763,32,81811,81820
477735,HKEX-SIMP,10019,50,85360,85369
477735,HKEX-OIT,9547,50,71369,71378
477735,HKEX-OIT,9548,50,71371,71379
477736,HKEX-ETFB,11007,10,73412,73422
477736,HKEX-JNAF,11495,5,75137,75148
477738,HKEX-FSR,10429,10,75878,75891
477740,HKEX-SIMP,10020,5,85362,85370
