time,instrument,price,quantity,passive_order_id,active_order_id
561790,JPX-GOLD,11350,20,130121,130135
561791,JPX-KTST,9762,13,112707,112724
561791,JPX-KTST,9762,13,112707,112725
561791,JPX-KTST,9762,13,112707,112726
561791,JPX-CARD,10277,50,189151,189166
561791,JPX-ETFSH,11819,9,117911,117927
561792,JPX-KTST,9766,50,112708,112727
561792,JPX-XAG,12234,38,108995,109006
561792,JPX-GOLD,11354,50,130122,130136
561793,JPX-HT,9329,76,122339,122354
561806,JPX-HT,9323,3,122336,122356
561806,JPX-JNAF,8665,3,122386,122405
561819,JPX-GOLD,11332,10,129882,130139
561837,JPX-CARD,10264,50,189168,189177
561837,JPX-ETFSH,11819,50,117929,117941
561837,JPX-ETFSH,11819,50,117932,117941
561837,JPX-GOLD,11315,40,130139,130148
561837,JPX-GOLD,11317,10,130141,130148
561837,JPX-HT,9322,50,122358,122367
561837,JPX-HT,9324,26,122360,122367
561837,JPX-SIMP,9974,50,161245,161256
561837,JPX-SIMP,9973,100,161247,161256
561837,JPX-SIMP,9972,150,161249,161256
561837,JPX-SIMP,9971,100,161251,161256
561837,JPX-ETFSH,11815,50,117931,117942
561837,JPX-ETFSH,11813,50,117933,117942
561840,JPX-GOLD,11317,50,130141,130150
561840,JPX-XAG,12228,50,109008,109018
561841,JPX-CARD,10265,50,189170,189181
561842,JPX-HT,9324,58,122360,122368
561842,JPX-GOLD,11317,20,130141,130151
561842,JPX-SIMP,9971,25,161251,161258
561844,JPX-SIMP,9971,1,161251,161260
561844,JPX-JNAF,8654,36,122406,122421
561844,JPX-SIMP,9971,1,161251,161261
561861,JPX-SIMP,9971,39,161251,161262
561861,JPX-SIMP,9971,25,161251,161263
561862,JPX-SIMP,9971,9,161251,161264
561862,JPX-SIMP,9970,1,161253,161264
561866,JPX-GOLD,11317,9,130141,130158
561866,JPX-XAG,12231,9,109010,109021
561867,JPX-XAG,12231,25,109010,109022
561867,JPX-XAG,12231,2,109010,109023
561869,JPX-KTST,9745,32,112730,112745
561870,JPX-SIMP,9970,50,161253,161265
561885,JPX-JNAF,8654,14,122406,122424
561885,JPX-JNAF,8652,17,122408,122424
561885,JPX-SIMP,9970,1,161253,161267
561885,JPX-JNAF,8652,42,122408,122426
561885,JPX-JNAF,8652,36,122408,122428
561891,JPX-SIMP,9970,198,161253,161268
561891,JPX-CARD,10265,50,189170,189185
561891,JPX-HT,9324,16,122360,122376
561891,JPX-SIMP,9976,50,161246,161269
561892,JPX-ETFSH,11813,50,117933,117951
561892,JPX-GOLD,11317,10,130141,130160
561892,JPX-JNAF,8652,5,122408,122429
561892,JPX-CARD,10266,150,189172,189188
561892,JPX-CARD,10267,22,189174,189194
561894,JPX-SIMP,9970,50,161270,161277
561906,JPX-HT,9326,9,122362,122378
561919,JPX-GOLD,11309,10,129810,130162
561919,JPX-GOLD,11302,12,129979,130162
561926,JPX-HT,9324,26,122377,122380
561926,JPX-HT,9311,10,121184,122380
561952,JPX-ETFSH,11819,50,117956,117965
561952,JPX-ETFSH,11821,50,117958,117965
561952,JPX-CARD,10264,50,189197,189207
561952,JPX-SIMP,9962,50,161279,161288
561952,JPX-SIMP,9963,100,161281,161288
561952,JPX-SIMP,9964,150,161283,161288
561952,JPX-SIMP,9965,200,161285,161288
561952,JPX-SIMP,9966,70,161287,161290
561952,JPX-ETFSH,11815,50,117955,117966
561952,JPX-ETFSH,11813,50,117957,117966
561952,JPX-KTST,9741,8,112750,112759
561955,JPX-ETFSH,11813,45,117957,117968
561955,JPX-JNAF,8644,45,122432,122441
561955,JPX-HT,9309,14,122380,122389
561955,JPX-HT,9311,2,122382,122389
561955,JPX-CARD,10266,25,189196,189209
561955,JPX-JNAF,8640,25,122431,122442
561955,JPX-XAG,12259,25,109028,109038
561956,JPX-KTST,9741,18,112750,112760
561956,JPX-ETFSH,11813,5,117957,117969
561956,JPX-SIMP,9966,50,161287,161291
561966,JPX-HT,9311,1,122382,122393
561966,JPX-SIMP,9960,1,161278,161295
561966,JPX-KTST,9741,23,112750,112761
561966,JPX-JNAF,8644,5,122432,122447
561966,JPX-JNAF,8646,12,122434,122447
561966,JPX-XAG,12253,40,109027,109042
561966,JPX-KTST,9741,1,112750,112762
561966,JPX-KTST,9743,19,112752,112762
561966,JPX-JNAF,8646,10,122434,122448
561966,JPX-XAG,12253,10,109027,109044
561966,JPX-XAG,12250,30,109029,109044
561966,JPX-KTST,9743,13,112752,112763
561966,JPX-JNAF,8646,7,122434,122449
561966,JPX-XAG,12250,40,109029,109046
