time,instrument,price,quantity,passive_order_id,active_order_id
778284,LSE-ZABA,7800,2,111814,111827
778285,LSE-CARD,9616,1,149257,149275
778287,LSE-KOTD,10958,6,114972,114981
778289,LSE-HT,9415,5,111496,111504
778290,LSE-MDKA,8638,5,114396,114587
778290,LSE-MDKA,8666,5,114366,114587
778298,LSE-DLKV,8665,8,112065,112075
778308,LSE-SIMP,9958,1,120699,120708
778313,LSE-SIMP,9958,49,120699,120709
778313,LSE-SIMP,9959,51,120701,120709
778318,LSE-JZRO,9080,8,111407,111416
778318,LSE-SIMP,9956,8,120698,120710
778320,LSE-JZRO,9076,5,111406,111417
778320,LSE-FSR,8990,10,113054,113063
778320,LSE-KOTD,10929,1,114982,114992
778320,LSE-OIT,9286,10,104369,104379
778320,LSE-ZABA,7791,10,111828,111838
778338,LSE-ZITO,9530,8,106302,106314
778343,LSE-ZABA,7791,12,111828,111839
778343,LSE-HT,9414,12,111504,111514
778345,LSE-MDKA,8673,5,114587,114598
778345,LSE-XAG,9917,5,108770,108782
778345,LSE-ZABA,7791,5,111828,111840
778345,LSE-FSR,8990,9,113054,113064
778345,LSE-OIT,9286,10,104369,104380
778345,LSE-XAG,9917,2,108770,108783
778346,LSE-ZABA,7791,10,111828,111841
778346,LSE-ZITO,9528,5,106301,106316
778356,LSE-ZABA,7793,50,111829,111842
778357,LSE-FSR,8990,31,113054,113065
778357,LSE-FSR,8992,19,113056,113065
778357,LSE-HT,9414,33,111504,111515
778357,LSE-HT,9416,17,111506,111515
778357,LSE-HT,9416,50,111506,111516
778368,LSE-DLKV,8665,10,112065,112076
778371,LSE-SIMP,9959,30,120701,120712
778371,LSE-JZRO,9080,39,111407,111418
778371,LSE-DLKV,8665,27,112065,112077
778389,LSE-DLKV,8665,5,112065,112078
778389,LSE-DLKV,8664,5,112067,112078
778393,LSE-OIT,9286,3,104369,104381
778393,LSE-DLKV,8664,5,112067,112079
778394,LSE-CARD,9601,20,149245,149287
778395,LSE-HT,9425,5,111513,111518
778397,LSE-SIMP,9964,5,120711,120713
778397,LSE-XAG,9906,5,108781,108785
778397,LSE-HT,9430,45,111518,111528
778397,LSE-HT,9428,5,111520,111528
778397,LSE-MDKA,8740,50,114599,114610
778409,LSE-DLKV,8665,10,112080,112090
778416,LSE-ZITO,9554,4,106318,106328
778420,LSE-DLKV,8665,5,112080,112091
778420,LSE-DLKV,8667,5,112081,112092
778421,LSE-XAG,9901,10,108785,108794
778421,LSE-ZITO,9554,10,106318,106330
778422,LSE-ZITO,9554,10,106318,106331
778446,LSE-ZABA,7820,50,111843,111854
778446,LSE-FSR,8989,50,113068,113077
778448,LSE-HT,9428,50,111520,111535
778448,LSE-MDKA,8738,50,114601,114612
778448,LSE-FSR,8991,50,113070,113080
778450,LSE-DLKV,8665,5,112080,112095
778460,LSE-DLKV,8667,5,112081,112096
778460,LSE-XAG,9901,10,108785,108795
778461,LSE-ZITO,9554,10,106318,106332
778461,LSE-ZITO,9554,10,106318,106334
778492,LSE-ZABA,7819,2,111845,111855
778496,LSE-MDKA,8744,3,114600,114613
778496,LSE-DLKV,8667,8,112081,112098
778496,LSE-XAG,9901,1,108785,108796
778496,LSE-DDJH,8500,4,103445,103455
778496,LSE-HT,9434,5,111519,111537
778497,LSE-CARD,9655,8,149253,149296
778497,LSE-CARD,9659,20,149129,149296
778497,LSE-CARD,9665,8,149254,149296
778497,LSE-CARD,9675,8,149255,149296
778498,LSE-FSR,8994,5,113081,113082
778501,LSE-XAG,9891,5,108472,108798
778501,LSE-XAG,9887,5,108381,108798
778518,LSE-ZABA,7813,5,111856,111866
778521,LSE-CARD,9709,6,149296,149307
778521,LSE-CARD,9708,2,149298,149307
778521,LSE-CARD,9708,8,149298,149309
778521,LSE-CARD,9708,8,149298,149311
778528,LSE-KOTD,10966,1,115008,115018
778528,LSE-JZRO,9065,8,111432,111441
778529,LSE-ZITO,9541,2,106335,106346
778535,LSE-ZABA,7815,50,111857,111868
778536,LSE-FSR,8998,45,113082,113094
778536,LSE-FSR,8996,5,113084,113094
778536,LSE-FSR,8996,50,113084,113095
778536,LSE-HT,9417,50,111539,111549
778536,LSE-HT,9419,50,111541,111550
778536,LSE-MDKA,8810,50,114614,114625
778536,LSE-MDKA,8808,50,114616,114626
778536,LSE-ETFB,9270,50,116439,116449
778536,LSE-CARD,9708,15,149298,149312
778543,LSE-KOTD,10966,10,115008,115019
778544,LSE-KOTD,10966,5,115008,115020
778544,LSE-OIT,9293,10,104392,104402
778544,LSE-ZABA,7813,10,111856,111869
778544,LSE-ZITO,9541,5,106335,106347
778550,LSE-CARD,9708,15,149298,149313
778590,LSE-SIMP,9964,2,120729,120746
778590,LSE-XAG,9886,25,108798,108809
778596,LSE-ETFB,9269,10,115960,116453
778596,LSE-ETFB,9266,1,114238,116453
778596,LSE-JZRO,9061,10,111431,111442
778596,LSE-CARD,9708,4,149298,149314
778600,LSE-MDKA,8842,5,114316,114629
778600,LSE-MDKA,8858,5,114304,114629
778601,LSE-XAG,9885,5,108393,108811
778601,LSE-XAG,9879,5,108315,108811
778602,LSE-SIMP,9968,2,120748,120757
778602,LSE-CARD,9689,10,149315,149325
778604,LSE-SIMP,9968,2,120748,120758
778612,LSE-ZABA,7829,50,111870,111881
778612,LSE-FSR,8996,50,113100,113109
778612,LSE-HT,9432,50,111552,111565
778612,LSE-MDKA,8885,40,114629,114642
778612,LSE-MDKA,8883,10,114631,114642
778613,LSE-MDKA,8883,50,114631,114643
778613,LSE-FSR,8998,50,113102,113112
778617,LSE-SIMP,9968,10,120748,120760
778618,LSE-CARD,9691,20,149316,149326
778619,LSE-FSR,8992,5,113099,113113
778619,LSE-JZRO,9078,5,111443,111453
778619,LSE-KOTD,10934,5,115022,115031
778619,LSE-MDKA,8883,5,114631,114644
778620,LSE-XAG,9866,5,108811,108820
778620,LSE-ZITO,9553,1,106348,106360
778620,LSE-SIMP,9966,8,120747,120761
778620,LSE-ETFB,9262,10,116453,116463
778621,LSE-FSR,8998,8,113102,113115
778621,LSE-CARD,9689,8,149315,149329
778622,LSE-CARD,9689,8,149315,149331
778623,LSE-CARD,9689,8,149315,149333
778625,LSE-SIMP,9968,8,120748,120767
778625,LSE-ETFB,9262,8,116453,116465
778634,LSE-SIMP,9968,2,120748,120768
778646,LSE-CARD,9689,10,149315,149334
778659,LSE-ZITO,9555,10,106349,106362
778664,LSE-SIMP,9968,26,120748,120770
778664,LSE-SIMP,9969,24,120750,120770
778693,LSE-ZABA,7828,2,111872,111882
778697,LSE-ZABA,7831,8,111871,111883
778699,LSE-DLKV,8669,5,112097,112121
778699,LSE-DLKV,8672,5,112093,112121
778699,LSE-DLKV,8673,10,112016,112121
778699,LSE-DLKV,8693,10,111574,112121
778699,LSE-DLKV,8695,20,111425,112121
778699,LSE-DLKV,8695,72,111425,112123
778699,LSE-DLKV,8696,5,111510,112123
778700,LSE-MDKA,8933,5,114233,114645
778700,LSE-MDKA,8967,5,114215,114645
778702,LSE-ZITO,9557,5,106033,106363
778705,LSE-CARD,9689,3,149336,149345
778705,LSE-FSR,9004,4,113116,113126
778705,LSE-DLKV,8699,23,112123,112131
778705,LSE-DLKV,8698,5,112125,112131
778705,LSE-XAG,9882,40,108823,108832
778709,LSE-KOTD,10961,3,115032,115042
778714,LSE-DDJH,8544,50,103478,103488
778721,LSE-HT,9438,5,111568,111578
778722,LSE-XAG,9882,10,108823,108833
778722,LSE-ZITO,9569,10,106363,106373
778722,LSE-ZITO,9569,10,106363,106374
778724,LSE-CARD,9687,2,149335,149348
778724,LSE-FSR,9004,2,113116,113127
778725,LSE-MDKA,9017,8,114645,114655
778732,LSE-KOTD,10961,10,115032,115044
778732,LSE-XAG,9884,10,108825,108834
778732,LSE-ZITO,9569,6,106363,106376
778738,LSE-JZRO,9093,8,111456,111466
778744,LSE-ETFB,9262,50,116467,116477
778744,LSE-FSR,9004,44,113116,113129
778744,LSE-FSR,9002,6,113118,113129
778744,LSE-FSR,9002,50,113118,113130
778744,LSE-HT,9438,45,111568,111583
778744,LSE-HT,9436,5,111570,111583
778744,LSE-HT,9436,50,111570,111584
778744,LSE-HT,9436,45,111570,111585
778744,LSE-HT,9434,5,111572,111585
778744,LSE-MDKA,9017,32,114645,114658
778744,LSE-MDKA,9015,18,114647,114658
778744,LSE-MDKA,9015,50,114647,114659
778744,LSE-ETFB,9260,50,116466,116478
778744,LSE-DLKV,8698,8,112125,112132
778749,LSE-XAG,9884,10,108825,108835
778754,LSE-ZABA,7843,12,111884,111895
778761,LSE-DLKV,8698,18,112125,112133
778761,LSE-XAG,9884,40,108825,108836
778768,LSE-ETFB,9263,5,116469,116480
778794,LSE-ETFB,9255,10,116450,116482
778794,LSE-ZITO,9571,3,106364,106377
778800,LSE-KOTD,10958,10,115047,115057
778801,LSE-SIMP,9960,4,120784,120793
778806,LSE-DLKV,8688,48,112134,112144
778806,LSE-SIMP,9960,46,120784,120794
778806,LSE-SIMP,9961,4,120786,120794
778809,LSE-ETFB,9253,40,116482,116491
778809,LSE-ETFB,9254,10,116484,116491
778809,LSE-ZABA,7829,50,111897,111906
778809,LSE-FSR,8982,50,113132,113141
778811,LSE-HT,9442,50,111586,111598
778811,LSE-MDKA,9079,50,114660,114671
778811,LSE-MDKA,9077,50,114662,114672
778813,LSE-FSR,8984,10,113134,113144
778813,LSE-KOTD,10958,10,115047,115058
778815,LSE-XAG,9880,10,108839,108849
778820,LSE-SIMP,9958,5,120783,120795
778820,LSE-CARD,9693,6,149351,149365
778820,LSE-ETFB,9254,10,116484,116493
778821,LSE-FSR,8984,10,113134,113145
778821,LSE-CARD,9693,1,149351,149366
778822,LSE-ZITO,9546,1,106378,106390
778825,LSE-SIMP,9961,5,120786,120796
778827,LSE-FSR,8984,10,113134,113146
778827,LSE-OIT,9288,10,104424,104435
778831,LSE-CARD,9695,5,149352,149367
778849,LSE-SIMP,9961,60,120786,120798
778854,LSE-DLKV,8688,2,112134,112146
778854,LSE-DLKV,8687,46,112136,112146
778855,LSE-ZABA,7827,50,111896,111907
778855,LSE-ZABA,7826,50,111898,111907
778855,LSE-SIMP,9961,31,120786,120800
778855,LSE-SIMP,9962,19,120788,120800
778857,LSE-SIMP,9962,1,120788,120801
778867,LSE-MDKA,9077,25,114662,114678
778867,LSE-SIMP,9962,25,120788,120802
778893,LSE-FSR,8978,1,113131,113147
778896,LSE-ETFB,9252,6,116044,116504
778898,LSE-CARD,9701,5,149346,149369
778898,LSE-CARD,9701,5,149361,149369
778899,LSE-JZRO,9065,10,111465,111479
778902,LSE-KOTD,10993,10,115059,115069
778902,LSE-JZRO,9065,40,111479,111488
