index,instrument,open,high,low,close,volume
0,NASDAQ-CARD,10086,10088,10080,10080,3821
0,NASDAQ-DLKV,10105,10110,10100,10107,2221
0,NASDAQ-ETFB,9995,9995,9993,9994,56
0,NASDAQ-ETFB3,10011,10015,10011,10015,115
0,NASDAQ-FSR,9917,9928,9913,9928,3015
0,NASDAQ-GOLD,10022,10028,10018,10028,3051
0,NASDAQ-HT,9948,9991,9945,9990,3934
0,NASDAQ-INA,9878,9915,9878,9915,4178
0,NASDAQ-KOTD,10055,10071,10051,10057,3087
0,NASDAQ-NGUP,10073,10073,10057,10057,2586
0,NASDAQ-SIMP,10054,10081,10052,10070,4819
0,NASDAQ-ZITO,9891,9894,9872,9879,118
1,NASDAQ-CARD,10080,10081,9913,9913,6880
1,NASDAQ-DLKV,10107,10112,10106,10112,2703
1,NASDAQ-ETFB,9996,9996,9995,9995,43
1,NASDAQ-ETFB3,10015,10017,10015,10017,171
1,NASDAQ-FSR,9928,9938,9928,9938,3710
1,NASDAQ-GOLD,10025,10031,10014,10014,4267
1,NASDAQ-HT,9990,9990,9982,9983,1958
1,NASDAQ-INA,9914,9928,9894,9894,5224
1,NASDAQ-KOTD,10057,10077,10057,10069,5194
1,NASDAQ-NGUP,10056,10056,10025,10025,6719
1,NASDAQ-SIMP,10070,10070,10042,10044,4920
1,NASDAQ-ZITO,9883,9885,9858,9861,3034
2,NASDAQ-CARD,9929,9932,9645,9657,5752
2,NASDAQ-DLKV,10108,10110,10103,10103,3350
2,NASDAQ-ETFB,9996,10010,9994,10004,163
2,NASDAQ-ETFB3,10017,10021,10017,10021,5020
2,NASDAQ-FSR,9938,9939,9922,9922,5543
2,NASDAQ-GOLD,10014,10036,10014,10036,4774
2,NASDAQ-HT,9983,9985,9959,9959,7863
2,NASDAQ-INA,9894,9910,9883,9883,3597
2,NASDAQ-KOTD,10077,10090,10071,10090,5265
2,NASDAQ-NGUP,10025,10041,9979,9979,4487
2,NASDAQ-SIMP,10044,10055,10042,10044,5140
2,NASDAQ-ZITO,9861,9870,9851,9851,4935
3,NASDAQ-CARD,9659,9679,9638,9638,2566
3,NASDAQ-DLKV,10103,10105,10092,10092,7502
3,NASDAQ-ETFB,10004,10020,10002,10018,782
3,NASDAQ-ETFB3,10021,10036,10021,10034,5486
3,NASDAQ-FSR,9922,9922,9896,9896,7108
3,NASDAQ-GOLD,10036,10049,10031,10048,4360
