time,instrument,price,quantity,passive_order_id,active_order_id
478450,NASDAQ-KOTD,10910,46,86168,86179
478450,NASDAQ-GOLD,9805,50,76761,76770
478450,NASDAQ-CARD,8879,30,108462,108477
478450,NASDAQ-CARD,8880,100,108464,108477
478450,NASDAQ-CARD,8880,20,108476,108477
478450,NASDAQ-CARD,8881,150,108466,108477
478450,NASDAQ-CARD,8882,200,108468,108477
478450,NASDAQ-CARD,8883,250,108470,108477
478450,NASDAQ-FSR,10456,10,72858,72868
478450,NASDAQ-ETFB,11004,5,71361,77187
478450,NASDAQ-ETFB3,10710,3,80409,80424
478450,NASDAQ-ETFB,11005,10,77176,77188
478450,NASDAQ-DLKV,10774,8,84301,84337
478450,NASDAQ-ZITO,10091,8,71588,71598
478450,NASDAQ-CARD,8877,50,108461,108478
478453,NASDAQ-HT,10613,5,76548,76558
478453,NASDAQ-INA,10466,2,82252,82279
478453,NASDAQ-INA,10468,10,82271,82280
478464,NASDAQ-ETFB,11006,25,68429,77190
478464,NASDAQ-ETFB,11006,10,68593,77190
478464,NASDAQ-ETFB,11007,10,68416,77190
478465,NASDAQ-NGUP,9798,5,77410,77425
478465,NASDAQ-GOLD,9806,8,76763,76771
478465,NASDAQ-ETFB,11011,1,77190,77200
478467,NASDAQ-CARD,8877,50,108478,108480
478467,NASDAQ-CARD,8877,44,108478,108482
478468,NASDAQ-DLKV,10774,15,84301,84339
478470,NASDAQ-INA,10466,38,82252,82282
478470,NASDAQ-INA,10466,12,82255,82282
478470,NASDAQ-INA,10466,58,82255,82284
478474,NASDAQ-ETFB3,10710,5,80426,80436
478475,NASDAQ-ETFB3,10710,3,80426,80437
478476,NASDAQ-ETFB3,10710,3,80426,80438
478476,NASDAQ-CARD,8885,25,108482,108490
478476,NASDAQ-FSR,10483,25,72869,72879
478476,NASDAQ-DLKV,10758,15,84339,84350
478485,NASDAQ-SIMP,9999,10,84014,84023
478508,NASDAQ-CARD,8885,8,108482,108493
478508,NASDAQ-KOTD,10894,8,86183,86225
478532,NASDAQ-SIMP,9999,10,84014,84025
478546,NASDAQ-CARD,8885,10,108482,108494
478550,NASDAQ-DLKV,10754,50,84338,84351
478550,NASDAQ-DLKV,10754,85,84351,84352
478550,NASDAQ-DLKV,10758,15,84339,84352
478550,NASDAQ-SIMP,9999,30,84014,84026
478550,NASDAQ-SIMP,10000,39,84016,84026
478551,NASDAQ-KOTD,10894,10,86183,86227
478551,NASDAQ-ETFB,11012,10,68514,77203
478551,NASDAQ-ETFB3,10710,10,80426,80439
478551,NASDAQ-ZITO,10093,1,71600,71609
478551,NASDAQ-INA,10454,20,82281,82291
478552,NASDAQ-KOTD,10894,32,86183,86229
478552,NASDAQ-KOTD,10892,86,86167,86229
478552,NASDAQ-KOTD,10892,42,86185,86229
478552,NASDAQ-CARD,8885,5,108482,108495
478552,NASDAQ-ZITO,10093,20,71600,71610
478552,NASDAQ-ETFB3,10710,10,80426,80440
478552,NASDAQ-CARD,8888,10,108352,108496
478552,NASDAQ-CARD,8885,8,108482,108497
478553,NASDAQ-FSR,10483,10,72869,72880
478553,NASDAQ-INA,10454,5,82281,82292
478555,NASDAQ-FSR,10483,15,72869,72881
478555,NASDAQ-FSR,10481,25,72871,72881
478560,NASDAQ-ETFB3,10707,50,80408,80442
478560,NASDAQ-ETFB3,10707,10,80408,80444
478565,NASDAQ-HT,10622,5,76560,76573
478567,NASDAQ-CARD,8888,12,108352,108499
