index,instrument,open,high,low,close,volume
561,NSE-CARD,10220,10269,10217,10269,6837
561,NSE-DLKV,8862,8879,8838,8838,3132
561,NSE-OIT,9068,9076,9047,9068,2836
561,NSE-SIMP,10013,10033,9986,10002,9231
561,NSE-ZABA,9784,9811,9756,9763,1969
561,NSE-ZITO,7604,7606,7587,7590,4241
562,NSE-CARD,10248,10264,9983,9987,7934
562,NSE-DLKV,8835,8856,8807,8835,2502
562,NSE-OIT,9074,9090,9065,9085,2638
562,NSE-SIMP,10023,11522,9985,9996,10214
562,NSE-ZABA,9785,9819,9781,9797,1964
562,NSE-ZITO,7594,8689,7588,7625,4842
563,NSE-CARD,9995,10019,9822,9836,8214
563,NSE-DLKV,8836,8852,8808,8837,2318
563,NSE-OIT,9085,9129,9082,9099,2326
563,NSE-SIMP,9984,10031,9983,10012,4531
563,NSE-ZABA,9809,9841,9809,9838,2119
563,NSE-ZITO,7616,8689,7588,7588,4218
564,NSE-CARD,9847,9999,9619,9634,7197
564,NSE-DLKV,8841,8843,8803,8809,1154
564,NSE-OIT,9099,9115,9082,9084,3833
564,NSE-SIMP,10013,10038,9984,10006,2667
564,NSE-ZABA,9843,9858,9823,9831,1748
564,NSE-ZITO,7601,8690,7562,7578,4061
565,NSE-CARD,9630,9922,9593,9903,9223
565,NSE-DLKV,8806,8808,8758,8771,1718
565,NSE-OIT,9081,9097,9050,9091,2996
565,NSE-SIMP,9983,10032,9981,10010,3338
565,NSE-ZABA,9823,9857,9812,9851,3787
565,NSE-ZITO,7587,7591,7548,7567,3150
566,NSE-CARD,9892,9909,9701,9714,7214
566,NSE-DLKV,8774,8828,8754,8824,1655
566,NSE-OIT,9077,9130,9077,9120,3637
566,NSE-SIMP,10030,10065,10005,10024,3986
566,NSE-ZABA,9837,9893,9835,9888,2261
566,NSE-ZITO,7570,7600,7530,7570,4388
567,NSE-CARD,9715,9941,9698,9929,6509
567,NSE-DLKV,8824,8896,8821,8896,1729
567,NSE-OIT,9124,9126,9078,9083,3462
567,NSE-SIMP,10001,10016,9994,9997,4146
567,NSE-ZABA,9889,9902,9845,9846,1998
567,NSE-ZITO,7562,7564,7524,7531,3342
568,NSE-CARD,9955,10077,9689,10029,5030
568,NSE-DLKV,8897,8976,8891,8976,1692
568,NSE-OIT,9084,9107,9074,9107,1221
568,NSE-SIMP,10007,10009,9946,9987,5406
568,NSE-ZABA,9859,9897,9834,9891,2523
568,NSE-ZITO,7525,7533,7482,7493,1877
569,NSE-CARD,10042,10175,9779,9787,5353
569,NSE-DLKV,8973,8987,8943,8985,1112
569,NSE-OIT,9119,9146,9112,9112,2273
569,NSE-SIMP,9974,9991,9956,9980,6179
569,NSE-ZABA,9902,9926,9879,9879,1568
