time,instrument,price,quantity,passive_order_id,active_order_id
1173147,NSE-OIT,10374,3,124627,124637
1173147,NSE-DLKV,10856,3,135518,135530
1173151,NSE-OIT,10358,3,124303,124639
1173151,NSE-OIT,10356,3,124305,124639
1173185,NSE-SIMP,9994,10,135952,135961
1173185,NSE-CARD,9815,10,140997,141006
1173185,NSE-DLKV,10868,10,135531,135542
1173185,NSE-DLKV,10868,10,135531,135543
1173286,NSE-SIMP,9975,10,135964,135973
1173286,NSE-CARD,9811,10,141009,141018
1173286,NSE-DLKV,10863,10,135544,135555
1173328,NSE-ZITO,9224,20,123799,123808
1173347,NSE-ZABA,12703,1,132500,132509
1173347,NSE-DLKV,10863,5,135544,135556
1173347,NSE-ZITO,9224,8,123799,123809
1173347,NSE-CARD,9809,6,141008,141019
1173350,NSE-OIT,10340,3,124301,124659
1173350,NSE-OIT,10334,3,124187,124659
1173350,NSE-OIT,10331,3,124185,124659
1173350,NSE-OIT,10308,3,124183,124659
1173350,NSE-OIT,10303,3,124189,124659
1173410,NSE-CARD,9800,10,141021,141030
1173410,NSE-DLKV,10862,10,135558,135567
1173446,NSE-DLKV,10862,3,135558,135570
1173446,NSE-OIT,10292,3,124659,124668
1173447,NSE-ZABA,12721,2,132511,132520
1173447,NSE-CARD,9800,3,141021,141032
1173447,NSE-ZITO,9242,1,123810,123820
1173447,NSE-DLKV,10862,8,135558,135572
1173447,NSE-OIT,10288,9,124658,124670
1173448,NSE-DLKV,10864,3,135571,135573
1173493,NSE-SIMP,9998,10,135986,135997
1173493,NSE-CARD,9793,10,141034,141043
1173493,NSE-DLKV,10871,10,135573,135584
1173506,NSE-DLKV,10871,10,135573,135585
1173547,NSE-ZITO,9229,9,123821,123831
1173587,NSE-SIMP,9994,10,135999,136008
1173587,NSE-DLKV,10878,10,135586,135597
1173587,NSE-DLKV,10878,10,135586,135598
1173647,NSE-ZITO,9239,3,123832,123842
1173647,NSE-DLKV,10882,2,135587,135599
1173647,NSE-OIT,10315,8,124682,124693
1173651,NSE-ZABA,12743,3,132393,132541
1173651,NSE-ZABA,12787,3,132089,132541
1173651,NSE-ZABA,12792,3,132093,132541
1173651,NSE-ZABA,12796,3,132161,132541
1173707,NSE-SIMP,9997,10,136011,136020
1173707,NSE-CARD,10031,10,141056,141067
1173707,NSE-DLKV,10891,10,135600,135611
1173747,NSE-OIT,10301,6,124694,124704
1173747,NSE-ZABA,12806,3,132542,132551
1173747,NSE-OIT,10305,3,124695,124705
1173747,NSE-SIMP,9997,8,136011,136022
1173770,NSE-SIMP,10006,10,136023,136034
1173770,NSE-CARD,10032,10,141070,141079
1173770,NSE-CARD,10030,10,141069,141080
1173847,NSE-SIMP,10008,2,136024,136035
1173847,NSE-OIT,10310,1,124706,124716
1173868,NSE-SIMP,10005,10,136036,136047
1173868,NSE-CARD,10014,10,141082,141091
1173947,NSE-CARD,10014,9,141082,141093
1173947,NSE-DLKV,10919,4,135624,135633
1173964,NSE-SIMP,9987,10,136049,136058
1173964,NSE-CARD,10034,10,141094,141105
1174060,NSE-SIMP,9973,10,136061,136070
1174060,NSE-CARD,10037,10,141106,141117
1174060,NSE-ZABA,12784,10,132584,132594
1174147,NSE-CARD,10039,9,141107,141118
1174147,NSE-ZABA,12790,4,132585,132595
1174173,NSE-SIMP,9978,10,136073,136082
1174173,NSE-CARD,10029,10,141120,141129
1174188,NSE-ZABA,12798,10,132596,132606
1174247,NSE-ZABA,12804,6,132597,132607
1174247,NSE-CARD,10027,7,141119,141131
1174247,NSE-SIMP,9978,1,136073,136084
1174247,NSE-SIMP,9978,5,136073,136085
1174269,NSE-CARD,10042,10,141132,141142
1174347,NSE-OIT,10329,4,124760,124769
1174362,NSE-OIT,10302,25,124771,124780
1174378,NSE-SIMP,9996,10,136097,136108
1174392,NSE-ZABA,12815,10,132619,132629
1174447,NSE-CARD,10024,1,141144,141154
1174473,NSE-SIMP,10000,10,136109,136120
1174473,NSE-ZITO,9227,20,123924,123933
1174473,NSE-ZABA,12788,10,132630,132640
1174547,NSE-ZABA,12788,2,132630,132641
1174548,NSE-CARD,10055,50,140618,141166
1174571,NSE-SIMP,10000,10,136121,136132
1174571,NSE-CARD,10244,10,141168,141176
1174647,NSE-OIT,10289,6,124791,124801
1174647,NSE-OIT,10289,1,124791,124802
1174672,NSE-SIMP,10013,10,136133,136144
1174672,NSE-CARD,10235,10,141177,141187
1174672,NSE-ZABA,12792,10,132653,132663
1174747,NSE-DLKV,10898,3,135705,135714
1174766,NSE-SIMP,9993,10,136146,136155
1174766,NSE-CARD,10254,10,141188,141198
1174847,NSE-ZABA,12779,5,132665,132674
1174847,NSE-ZABA,12773,2,132664,132675
1174847,NSE-OIT,10277,4,124814,124824
1174867,NSE-CARD,10239,10,141199,141209
1174941,NSE-ZABA,12787,3,132676,132687
1174941,NSE-DLKV,10926,3,135725,135736
1174941,NSE-OIT,10298,3,124826,124835
1174941,NSE-ZABA,12787,3,132676,132690
1174957,NSE-SIMP,10001,10,136168,136179
1174972,NSE-DLKV,10884,3,135737,135748
1174972,NSE-OIT,10283,3,124838,124848
1175047,NSE-ZITO,9219,1,123975,123984
1175065,NSE-SIMP,10015,10,136180,136191
1175065,NSE-CARD,10256,10,141221,141231
1175177,NSE-SIMP,10003,10,136193,136202
1175177,NSE-SIMP,10001,10,136192,136203
1175177,NSE-CARD,10243,10,141232,141242
1175177,NSE-DLKV,10884,10,135760,135769
1175251,NSE-ZABA,12752,3,132686,132723
1175347,NSE-SIMP,10005,5,136204,136215
1175347,NSE-CARD,10221,2,141243,141254
1175347,NSE-SIMP,10007,5,136205,136216
1175347,NSE-CARD,10221,2,141243,141255
1175447,NSE-ZABA,12785,1,132732,132742
1175447,NSE-OIT,10275,3,124880,124890
1175447,NSE-ZABA,12785,3,132732,132743
1175547,NSE-SIMP,9997,5,136228,136239
1175569,NSE-SIMP,9998,10,136240,136251
1175647,NSE-OIT,10302,7,124901,124911
1175676,NSE-SIMP,10003,10,136252,136263
1175747,NSE-CARD,10036,7,141289,141300
1175770,NSE-SIMP,10010,10,136264,136275
1175847,NSE-SIMP,10010,1,136264,136276
1175860,NSE-DLKV,10985,20,135832,135842
1175880,NSE-SIMP,10016,10,136277,136288
1175947,NSE-DLKV,10985,1,135832,135843
1175947,NSE-SIMP,10016,3,136277,136289
1175947,NSE-CARD,10017,4,141312,141321
1175974,NSE-SIMP,10000,10,136291,136300
1176047,NSE-OIT,10282,5,124944,124953
1176147,NSE-CARD,10019,7,141333,141342
1176174,NSE-SIMP,9988,10,136314,136323
1176220,NSE-CARD,9993,1,141344,141353
1176247,NSE-SIMP,9988,3,136314,136325
1176247,NSE-DLKV,10952,8,135864,135874
1176247,NSE-CARD,9993,2,141344,141354
1176247,NSE-ZABA,12783,3,132818,132828
1176250,NSE-OIT,10322,20,124942,124974
1176257,NSE-SIMP,10005,10,136326,136336
1176347,NSE-CARD,9998,4,141355,141365
1176384,NSE-DLKV,10973,20,135885,135895
1176384,NSE-ZITO,9217,20,124118,124127
1176430,NSE-CARD,10018,1,141367,141377
1176447,NSE-SIMP,10019,6,136338,136348
1176447,NSE-SIMP,10019,5,136338,136349
1176447,NSE-CARD,10016,2,141366,141378
1176464,NSE-SIMP,10004,10,136351,136360
1176547,NSE-CARD,10020,2,141380,141389
1176547,NSE-SIMP,10002,7,136350,136362
1176570,NSE-SIMP,10012,10,136364,136373
1176642,NSE-ZABA,12732,3,132861,132871
1176642,NSE-DLKV,10998,3,135906,135917
1176642,NSE-OIT,10351,3,125005,125015
1176642,NSE-ZABA,12732,3,132861,132873
1176643,NSE-DLKV,10998,3,135906,135919
1176643,NSE-OIT,10351,3,125005,125017
1176643,NSE-ZABA,12732,3,132861,132875
1176647,NSE-CARD,9994,3,141391,141401
1176647,NSE-OIT,10351,1,125005,125019
1176658,NSE-SIMP,10007,10,136375,136386
1176747,NSE-ZABA,12724,3,132876,132886
1176747,NSE-ZITO,9229,10,124148,124158
1176748,NSE-CARD,10000,1,141412,141415
1176754,NSE-SIMP,10003,10,136388,136397
1176847,NSE-OIT,10325,8,125030,125040
1176847,NSE-ZABA,12723,2,132888,132897
1176853,NSE-DLKV,10986,3,135940,135951
1176853,NSE-OIT,10353,3,125042,125051
1176866,NSE-SIMP,9996,10,136400,136409
1176881,NSE-DLKV,10986,20,135940,135952
1176895,NSE-CARD,9997,1,141425,141434
1176947,NSE-OIT,10351,1,125052,125053
1176947,NSE-SIMP,9996,5,136400,136411
1176947,NSE-ZITO,9239,3,124170,124179
1176951,NSE-ZABA,12715,50,132688,132910
1176951,NSE-ZABA,12712,50,132691,132912
1176951,NSE-ZABA,12707,3,132689,132912
1176951,NSE-ZABA,12700,3,132874,132912
1176968,NSE-SIMP,9996,10,136413,136422
1177047,NSE-CARD,10004,9,141436,141445
1177047,NSE-OIT,10342,8,125054,125064
1177051,NSE-OIT,10351,19,125052,125065
1177059,NSE-SIMP,9983,10,136425,136434
1177114,NSE-CARD,9998,1,141447,141456
1177147,NSE-ZITO,9252,5,124190,124200
1177147,NSE-OIT,10357,1,125066,125075
1177147,NSE-OIT,10353,7,125065,125076
1177182,NSE-SIMP,9997,10,136436,136447
1177247,NSE-ZITO,9257,6,124202,124211
1177247,NSE-DLKV,11020,6,135974,135983
1177250,NSE-OIT,10392,3,124836,125087
1177274,NSE-SIMP,9982,10,136449,136458
1177347,NSE-OIT,10394,8,125087,125097
1177347,NSE-ZABA,12695,1,132939,132950
1177348,NSE-CARD,9997,1,141477,141479
1177382,NSE-SIMP,9987,10,136461,136470
1177396,NSE-CARD,9994,20,141479,141488
1177396,NSE-DLKV,11049,20,135994,136004
1177447,NSE-ZITO,9255,1,124223,124232
1177447,NSE-ZABA,12730,6,132952,132962
1177447,NSE-ZITO,9253,6,124222,124233
1177447,NSE-OIT,10397,2,125099,125108
1177447,NSE-DLKV,11049,6,135994,136005
1177447,NSE-SIMP,9985,3,136460,136472
1177473,NSE-SIMP,9996,10,136473,136484
1177547,NSE-ZITO,9249,9,124234,124244
1177547,NSE-ZABA,12700,5,132964,132973
1177548,NSE-CARD,10069,50,141400,141500
1177647,NSE-SIMP,9988,7,136485,136496
1177647,NSE-DLKV,11071,3,136017,136026
1177647,NSE-ZABA,12712,2,132974,132984
1177647,NSE-OIT,10379,7,125120,125129
1177650,NSE-OIT,10398,3,124669,125130
1177666,NSE-SIMP,9994,10,136498,136507
1177747,NSE-CARD,10151,7,141511,141520
1177762,NSE-SIMP,9998,10,136509,136520
1177762,NSE-CARD,10163,10,141521,141531
1177847,NSE-DLKV,11042,6,136038,136047
1177847,NSE-DLKV,11042,1,136038,136048
1177847,NSE-DLKV,11038,7,136037,136049
1177852,NSE-SIMP,9962,10,136522,136531
1177852,NSE-CARD,10165,10,141533,141543
1177911,NSE-DLKV,11045,20,136050,136060
1177951,NSE-ZABA,12693,20,133016,133018
1177951,NSE-ZABA,12675,3,132872,133018
1177970,NSE-SIMP,9990,10,136534,136543
1177970,NSE-CARD,10170,10,141544,141554
1178047,NSE-CARD,10172,9,141545,141555
1178047,NSE-SIMP,9988,9,136533,136545
1178056,NSE-CARD,10166,10,141556,141566
1178147,NSE-CARD,10166,3,141556,141567
1178159,NSE-SIMP,9982,10,136558,136567
1178247,NSE-CARD,10171,3,141569,141579
1178247,NSE-CARD,10169,6,141568,141580
1178264,NSE-SIMP,9970,10,136570,136579
1178264,NSE-CARD,10182,10,141581,141591
1178264,NSE-ZABA,12701,3,133047,133058
1178264,NSE-DLKV,11083,3,136091,136102
1178264,NSE-OIT,10374,3,125192,125202
1178264,NSE-ZABA,12707,3,133048,133059
1178264,NSE-DLKV,11083,3,136091,136104
1178264,NSE-OIT,10374,3,125192,125204
1178264,NSE-ZABA,12701,3,133047,133062
1178351,NSE-ZABA,12694,3,133057,133064
1178363,NSE-SIMP,10000,10,136581,136592
1178447,NSE-ZABA,12686,1,133064,133073
1178447,NSE-ZABA,12686,1,133064,133074
1178447,NSE-OIT,10363,6,125206,125216
1178466,NSE-SIMP,9981,10,136593,136604
1178466,NSE-OIT,10364,3,125218,125227
1178466,NSE-ZABA,12684,3,133076,133085
1178466,NSE-ZITO,9265,3,124336,124345
1178547,NSE-DLKV,11053,3,136118,136127
1178547,NSE-DLKV,11049,5,136117,136128
1178547,NSE-SIMP,9983,5,136594,136605
1178548,NSE-CARD,9998,1,141499,141615
1178548,NSE-CARD,9994,1,141532,141615
1178548,NSE-CARD,9993,20,141376,141615
1178561,NSE-SIMP,9971,10,136607,136616
1178576,NSE-OIT,10332,25,125230,125239
1178669,NSE-SIMP,9996,10,136618,136629
1178740,NSE-OIT,10327,25,125241,125252
1178747,NSE-DLKV,11029,7,136140,136149
1178747,NSE-SIMP,9996,3,136618,136630
1178747,NSE-DLKV,11025,3,136139,136150
1178751,NSE-ZABA,12673,3,133061,133108
1178751,NSE-ZABA,12659,3,130574,133108
1178769,NSE-SIMP,9998,10,136631,136642
1178847,NSE-ZABA,12645,3,133107,133117
1178847,NSE-ZABA,12651,2,133108,133118
1178847,NSE-ZITO,9248,8,124367,124377
1178859,NSE-SIMP,9997,10,136643,136654
1178906,NSE-ZITO,9245,20,124379,124388
1178947,NSE-OIT,10312,25,125264,125274
1178947,NSE-DLKV,10989,4,136162,136172
1178947,NSE-SIMP,9997,9,136643,136655
1178947,NSE-OIT,10308,7,125263,125275
1178948,NSE-CARD,9870,20,141656,141658
1178951,NSE-ZABA,12651,20,133129,133131
1178963,NSE-SIMP,9991,10,136657,136666
1179048,NSE-CARD,9865,1,141667,141669
1179105,NSE-SIMP,10024,10,136668,136679
1179248,NSE-CARD,9872,1,141688,141690
1179263,NSE-SIMP,10022,10,136690,136701
1179287,NSE-SIMP,10024,10,136691,136702
1179332,NSE-OIT,10298,25,125311,125320
1179332,NSE-OIT,10298,25,125311,125321
1179346,NSE-SIMP,10022,10,136690,136705
1179347,NSE-ZABA,12615,6,133161,133170
1179360,NSE-CARD,9857,10,141701,141710
1179447,NSE-ZABA,12629,4,133171,133181
1179447,NSE-SIMP,9976,7,136706,136716
1179547,NSE-OIT,10331,25,125333,125344
1179547,NSE-ZITO,9245,2,124440,124449
1179562,NSE-SIMP,9993,10,136728,136739
1179647,NSE-SIMP,9993,1,136728,136740
1179658,NSE-SIMP,9999,10,136741,136752
