time,instrument,order_id,expired
122,NYSE-ETFA,1,False
122,NYSE-ETFA,2,False
122,NYSE-ETFA,3,False
122,NYSE-ETFA,4,False
122,NYSE-ETFA,5,False
122,NYSE-ETFA,6,False
122,NYSE-ETFA,7,False
122,NYSE-ETFA,8,False
122,NYSE-ETFA,9,False
122,NYSE-ETFA,10,False
123,NYSE-ZABA,1,False
123,NYSE-ZABA,2,False
123,NYSE-ZABA,3,False
123,NYSE-ZABA,4,False
123,NYSE-ZABA,5,False
123,NYSE-ZABA,6,False
123,NYSE-ZABA,7,False
123,NYSE-ZABA,8,False
123,NYSE-ZABA,9,False
123,NYSE-ZABA,10,False
214,NYSE-ZABA,22,False
214,NYSE-ETFA,22,False
214,NYSE-NGUP,23,False
222,NYSE-ETFA,20,False
222,NYSE-ETFA,19,False
222,NYSE-ETFA,18,False
222,NYSE-ETFA,17,False
222,NYSE-ETFA,16,False
222,NYSE-ETFA,15,False
222,NYSE-ETFA,14,False
222,NYSE-ETFA,11,False
222,NYSE-ETFA,13,False
223,NYSE-ZABA,20,False
223,NYSE-ZABA,19,False
223,NYSE-ZABA,18,False
223,NYSE-ZABA,17,False
223,NYSE-ZABA,16,False
223,NYSE-ZABA,15,False
223,NYSE-ZABA,14,False
223,NYSE-ZABA,12,False
223,NYSE-ZABA,13,False
242,NYSE-NGUP,35,False
294,NYSE-KTST,33,False
296,NYSE-JZRO,33,False
296,NYSE-INA,31,False
313,NYSE-SIMP,33,False
313,NYSE-XFR,31,False
313,NYSE-INA,32,False
320,NYSE-DDJH,33,False
322,NYSE-ETFA3,22,False
322,NYSE-ETFA,31,False
322,NYSE-ETFA,30,False
322,NYSE-ETFA,29,False
322,NYSE-ETFA,28,False
322,NYSE-ETFA,27,False
322,NYSE-ETFA,26,False
322,NYSE-ETFA,25,False
322,NYSE-ETFA,23,False
323,NYSE-XFR,22,False
323,NYSE-ZABA,32,False
323,NYSE-ZABA,31,False
323,NYSE-ZABA,30,False
323,NYSE-ZABA,29,False
323,NYSE-ZABA,28,False
323,NYSE-ZABA,27,False
323,NYSE-ZABA,26,False
323,NYSE-ZABA,25,False
323,NYSE-ZABA,24,False
323,NYSE-ZABA,23,False
353,NYSE-JNAF,43,False
404,NYSE-KTST,44,False
404,NYSE-JZRO,44,False
404,NYSE-INA,43,False
422,NYSE-ETFA3,33,False
422,NYSE-ETFA3,32,False
422,NYSE-ETFA,42,False
422,NYSE-ETFA,40,False
422,NYSE-ETFA,39,False
422,NYSE-ETFA,38,False
422,NYSE-ETFA,37,False
422,NYSE-ETFA,36,False
422,NYSE-ETFA,34,False
422,NYSE-ETFA,41,False
423,NYSE-ZABA,42,False
423,NYSE-ZABA,41,False
423,NYSE-ZABA,39,False
423,NYSE-ZABA,38,False
423,NYSE-ZABA,37,False
423,NYSE-ZABA,36,False
423,NYSE-ZABA,35,False
423,NYSE-ZABA,33,False
423,NYSE-ZABA,40,False
522,NYSE-ETFA3,44,False
522,NYSE-ETFA3,43,False
522,NYSE-ETFA,54,False
522,NYSE-ETFA,52,False
522,NYSE-ETFA,51,False
522,NYSE-ETFA,50,False
522,NYSE-ETFA,49,False
522,NYSE-ETFA,48,False
522,NYSE-ETFA,47,False
522,NYSE-ETFA,45,False
522,NYSE-ETFA,53,False
523,NYSE-NGUP,54,False
523,NYSE-NGUP,55,False
523,NYSE-NGUP,56,False
523,NYSE-XFR,43,False
523,NYSE-ZABA,50,False
523,NYSE-ZABA,44,False
523,NYSE-ZABA,46,False
523,NYSE-ZABA,47,False
523,NYSE-ZABA,48,False
523,NYSE-ZABA,49,False
523,NYSE-ZABA,51,False
523,NYSE-ZABA,52,False
523,NYSE-ZABA,53,False
564,NYSE-KTST,72,False
566,NYSE-XFR,67,False
566,NYSE-SIMP,68,False
566,NYSE-ZABA,69,False
566,NYSE-JNAF,70,False
566,NYSE-DDJH,70,False
623,NYSE-ETFA3,59,False
623,NYSE-ETFA3,58,False
623,NYSE-ETFA3,57,False
623,NYSE-ETFA,67,False
623,NYSE-ETFA,66,False
623,NYSE-ETFA,65,False
623,NYSE-ETFA,63,False
623,NYSE-ETFA,62,False
623,NYSE-ETFA,60,False
623,NYSE-ETFA,64,False
623,NYSE-ZABA,63,False
623,NYSE-ZABA,57,False
623,NYSE-ZABA,58,False
623,NYSE-ZABA,59,False
623,NYSE-ZABA,60,False
623,NYSE-ZABA,61,False
623,NYSE-ZABA,62,False
623,NYSE-ZABA,64,False
623,NYSE-ZABA,65,False
623,NYSE-ZABA,66,False
632,NYSE-ZABA,80,False
639,NYSE-CARD,77,False
722,NYSE-ETFA3,69,False
722,NYSE-ETFA3,68,False
722,NYSE-ETFA3,70,False
722,NYSE-ETFA,77,False
722,NYSE-ETFA,76,False
722,NYSE-ETFA,74,False
722,NYSE-ETFA,73,False
722,NYSE-ETFA,72,False
722,NYSE-ETFA,71,False
722,NYSE-ETFA,75,False
723,NYSE-XFR,69,False
723,NYSE-ZABA,77,False
723,NYSE-ZABA,76,False
723,NYSE-ZABA,75,False
723,NYSE-ZABA,74,False
723,NYSE-ZABA,73,False
723,NYSE-ZABA,72,False
723,NYSE-ZABA,71,False
723,NYSE-ZABA,70,False
739,NYSE-XFR,89,False
739,NYSE-ETFA3,88,False
739,NYSE-JNAF,92,False
739,NYSE-INA,91,False
739,NYSE-SIMP,90,False
739,NYSE-KTST,94,False
748,NYSE-KRAS,88,False
748,NYSE-ZABA,91,False
748,NYSE-CARD,88,False
819,NYSE-CARD,89,False
819,NYSE-KTST,95,False
819,NYSE-INA,92,False
819,NYSE-KTST,96,False
819,NYSE-KRAS,89,False
823,NYSE-ETFA3,81,False
823,NYSE-ETFA3,80,False
823,NYSE-ETFA3,79,False
823,NYSE-ETFA3,78,False
823,NYSE-ETFA,88,False
823,NYSE-ETFA,87,False
823,NYSE-ETFA,86,False
823,NYSE-ETFA,85,False
823,NYSE-ETFA,84,False
823,NYSE-ETFA,83,False
823,NYSE-ETFA,82,False
823,NYSE-KRAS,78,False
823,NYSE-XFR,80,False
823,NYSE-ZABA,89,False
823,NYSE-ZABA,88,False
823,NYSE-ZABA,87,False
823,NYSE-ZABA,86,False
823,NYSE-ZABA,85,False
823,NYSE-ZABA,84,False
823,NYSE-ZABA,83,False
823,NYSE-ZABA,82,False
823,NYSE-ZABA,81,False
828,NYSE-NGUP,108,False
839,NYSE-INA,105,False
839,NYSE-SIMP,103,False
839,NYSE-JNAF,105,False
839,NYSE-JZRO,102,False
839,NYSE-NGUP,109,False
865,NYSE-KTST,111,False
865,NYSE-XFR,104,False
882,NYSE-CARD,104,False
890,NYSE-ZABA,108,False
890,NYSE-CARD,107,False
914,NYSE-CARD,108,False
922,NYSE-ETFA3,91,False
923,NYSE-ETFA3,89,False
923,NYSE-ETFA3,90,False
923,NYSE-ETFA,101,False
923,NYSE-ETFA,100,False
923,NYSE-ETFA,98,False
923,NYSE-ETFA,97,False
923,NYSE-ETFA,96,False
923,NYSE-ETFA,95,False
923,NYSE-ETFA,94,False
923,NYSE-ETFA,92,False
923,NYSE-ETFA,93,False
923,NYSE-ETFA,99,False
923,NYSE-KRAS,90,False
923,NYSE-NGUP,104,False
923,NYSE-XFR,92,False
