time,instrument,price,quantity,passive_order_id,active_order_id
141,NYSE-CARD,10077,50,2,21
143,NYSE-NGUP,10065,50,2,21
143,NYSE-SIMP,10070,50,1,21
187,NYSE-ETFA,10027,50,12,21
188,NYSE-JZRO,10133,50,1,21
201,NYSE-KRAS,9893,50,1,21
202,NYSE-KTST,9971,50,1,21
202,NYSE-ZABA,10131,50,11,21
209,NYSE-DDJH,9955,50,1,21
210,NYSE-MDKA,9784,50,2,21
212,NYSE-NGUP,10065,1,12,22
214,NYSE-DDJH,9955,50,11,22
214,NYSE-CARD,10077,50,12,22
214,NYSE-JZRO,10133,50,11,22
214,NYSE-MDKA,9784,50,12,22
214,NYSE-ETFA3,10004,50,2,21
214,NYSE-NGUP,10065,49,12,23
214,NYSE-KTST,9975,50,2,22
222,NYSE-JNAF,10025,8,2,21
222,NYSE-NGUP,10068,1,4,24
222,NYSE-CARD,10078,50,4,23
222,NYSE-CARD,10078,50,4,25
222,NYSE-CARD,10078,50,14,25
222,NYSE-CARD,10078,50,14,27
222,NYSE-CARD,10079,100,6,27
222,NYSE-CARD,10079,50,6,29
222,NYSE-CARD,10079,150,16,29
222,NYSE-CARD,10080,200,8,31
222,NYSE-CARD,10080,50,18,31
223,NYSE-DDJH,9954,50,3,24
223,NYSE-DDJH,9954,50,3,26
223,NYSE-DDJH,9954,50,13,26
223,NYSE-INA,9877,50,2,21
223,NYSE-INA,9877,50,12,23
223,NYSE-INA,9879,50,4,23
223,NYSE-INA,9879,50,4,25
223,NYSE-INA,9879,100,14,25
223,NYSE-INA,9881,150,6,27
223,NYSE-INA,9881,50,16,27
223,NYSE-INA,9881,100,16,29
223,NYSE-INA,9883,150,8,29
223,NYSE-JZRO,10131,50,3,24
223,NYSE-KRAS,9897,50,2,22
223,NYSE-KRAS,9897,50,12,24
223,NYSE-KRAS,9899,50,4,24
223,NYSE-KRAS,9899,50,4,26
223,NYSE-KRAS,9899,100,14,26
223,NYSE-KTST,9975,50,12,23
223,NYSE-MDKA,9780,50,1,24
223,NYSE-MDKA,9780,50,11,26
223,NYSE-MDKA,9778,50,3,26
223,NYSE-MDKA,9778,50,3,28
223,NYSE-MDKA,9778,100,13,28
223,NYSE-NGUP,10068,50,4,25
223,NYSE-NGUP,10068,49,4,27
223,NYSE-NGUP,10068,51,14,27
223,NYSE-NGUP,10068,49,14,29
223,NYSE-XFR,9975,50,2,21
223,NYSE-XFR,9975,50,12,23
223,NYSE-XFR,9977,50,4,23
250,NYSE-JNAF,10025,42,2,32
250,NYSE-JNAF,10025,8,12,32
294,NYSE-SIMP,10070,50,11,32
294,NYSE-SIMP,10070,50,22,32
294,NYSE-SIMP,10069,100,3,32
308,NYSE-ETFA,10029,50,24,33
313,NYSE-KRAS,9900,50,28,32
322,NYSE-KRAS,9900,100,28,33
322,NYSE-ETFA3,10002,6,32,42
322,NYSE-DDJH,9955,50,28,34
322,NYSE-DDJH,9955,100,28,36
322,NYSE-DDJH,9956,150,30,38
322,NYSE-DDJH,9956,50,30,40
322,NYSE-DDJH,9957,50,2,40
322,NYSE-DDJH,9957,50,12,40
322,NYSE-DDJH,9957,50,32,40
322,NYSE-DDJH,9957,200,32,42
322,NYSE-DDJH,9958,50,4,42
323,NYSE-INA,9883,50,8,33
323,NYSE-INA,9883,100,18,35
323,NYSE-INA,9883,100,18,37
323,NYSE-INA,9885,50,10,37
323,NYSE-INA,9885,200,10,39
323,NYSE-INA,9885,250,20,41
323,NYSE-JNAF,10025,42,12,33
323,NYSE-JNAF,10027,8,4,33
323,NYSE-JNAF,10027,92,4,35
323,NYSE-JNAF,10027,8,14,35
323,NYSE-JNAF,10027,92,14,37
323,NYSE-JNAF,10028,50,23,37
323,NYSE-JNAF,10029,8,6,37
323,NYSE-JNAF,10029,142,6,39
323,NYSE-JNAF,10029,58,16,39
323,NYSE-JNAF,10029,92,16,41
323,NYSE-JNAF,10030,100,25,41
323,NYSE-JNAF,10031,58,8,41
323,NYSE-JZRO,10132,50,26,34
323,NYSE-JZRO,10132,50,26,36
323,NYSE-KRAS,9900,50,28,35
323,NYSE-KRAS,9898,100,30,37
323,NYSE-KRAS,9898,150,30,39
323,NYSE-KRAS,9893,50,11,41
323,NYSE-KRAS,9891,100,3,41
323,NYSE-KRAS,9891,50,13,41
323,NYSE-KRAS,9891,50,13,43
323,NYSE-KRAS,9889,150,5,43
323,NYSE-KRAS,9889,50,15,43
323,NYSE-KTST,9977,50,4,34
323,NYSE-KTST,9977,50,4,36
323,NYSE-KTST,9977,50,14,36
323,NYSE-KTST,9977,50,14,38
323,NYSE-MDKA,9776,50,5,34
323,NYSE-MDKA,9776,100,5,36
323,NYSE-MDKA,9776,150,15,38
323,NYSE-MDKA,9774,200,7,40
323,NYSE-MDKA,9774,200,17,42
323,NYSE-MDKA,9772,50,9,42
323,NYSE-NGUP,10071,50,6,36
323,NYSE-NGUP,10071,100,6,38
323,NYSE-NGUP,10071,150,16,40
323,NYSE-NGUP,10074,200,8,42
323,NYSE-NGUP,10074,200,18,44
323,NYSE-NGUP,10077,50,10,44
323,NYSE-SIMP,10072,50,2,34
323,NYSE-SIMP,10072,50,12,36
323,NYSE-SIMP,10072,50,23,36
323,NYSE-XFR,9977,50,4,33
323,NYSE-XFR,9977,100,14,35
323,NYSE-XFR,9979,150,6,37
323,NYSE-XFR,9979,150,16,39
323,NYSE-XFR,9981,50,8,39
323,NYSE-XFR,9981,150,8,41
323,NYSE-XFR,9981,100,18,41
404,NYSE-NGUP,10070,50,29,46
418,NYSE-ETFA,10029,50,35,44
422,NYSE-ZABA,10113,50,34,43
422,NYSE-DDJH,9954,50,13,44
422,NYSE-KTST,9978,4,38,45
422,NYSE-JNAF,10024,5,22,44
422,NYSE-CARD,10079,50,34,43
422,NYSE-CARD,10080,100,18,45
422,NYSE-CARD,10080,50,18,47
422,NYSE-CARD,10080,100,36,47
422,NYSE-CARD,10081,200,10,49
422,NYSE-CARD,10081,50,10,51
422,NYSE-CARD,10081,200,20,51
423,NYSE-DDJH,9953,50,5,46
423,NYSE-DDJH,9953,100,5,48
423,NYSE-DDJH,9953,150,15,50
423,NYSE-DDJH,9952,200,7,52
423,NYSE-DDJH,9952,200,17,54
423,NYSE-DDJH,9951,50,9,54
423,NYSE-INA,9896,50,22,44
423,NYSE-INA,9898,100,24,46
423,NYSE-INA,9900,150,26,48
423,NYSE-INA,9900,50,34,50
423,NYSE-JNAF,10031,50,8,45
423,NYSE-JNAF,10031,92,8,47
423,NYSE-JNAF,10031,8,18,47
423,NYSE-JNAF,10031,150,18,49
423,NYSE-JNAF,10031,42,18,51
423,NYSE-JNAF,10032,150,27,51
423,NYSE-JNAF,10033,8,10,51
423,NYSE-JZRO,10132,50,36,46
423,NYSE-KRAS,9889,50,15,45
423,NYSE-KRAS,9889,50,15,47
423,NYSE-KRAS,9887,50,7,47
423,NYSE-KRAS,9887,150,7,49
423,NYSE-KRAS,9887,200,17,51
423,NYSE-KRAS,9885,250,9,53
423,NYSE-KTST,9979,50,6,46
423,NYSE-KTST,9979,100,6,48
423,NYSE-KTST,9979,150,16,50
423,NYSE-KTST,9981,200,8,52
423,NYSE-KTST,9981,200,18,54
423,NYSE-KTST,9982,50,24,54
423,NYSE-MDKA,9780,50,30,43
424,NYSE-MDKA,9780,50,30,53
446,NYSE-INA,9901,8,50,55
446,NYSE-ZABA,10116,8,45,54
519,NYSE-ETFA,10029,50,46,57
519,NYSE-INA,9901,100,50,56
519,NYSE-ZABA,10116,42,45,56
522,NYSE-CARD,10077,50,33,58
523,NYSE-DDJH,9958,50,4,59
523,NYSE-DDJH,9958,100,14,61
523,NYSE-DDJH,9959,150,6,63
523,NYSE-DDJH,9959,150,16,65
523,NYSE-DDJH,9960,50,8,65
523,NYSE-DDJH,9960,150,8,67
523,NYSE-DDJH,9960,100,18,67
523,NYSE-INA,9901,42,50,60
523,NYSE-INA,9899,8,52,60
523,NYSE-INA,9899,100,52,62
523,NYSE-INA,9899,142,52,64
523,NYSE-JNAF,10033,50,10,59
523,NYSE-JZRO,10132,50,48,59
523,NYSE-JZRO,10132,50,48,61
523,NYSE-JZRO,10134,50,28,61
523,NYSE-JZRO,10134,100,28,63
523,NYSE-JZRO,10134,50,50,63
523,NYSE-JZRO,10134,100,50,65
523,NYSE-JZRO,10136,100,30,65
523,NYSE-JZRO,10136,100,30,67
523,NYSE-JZRO,10136,150,52,67
523,NYSE-KTST,9978,50,38,61
523,NYSE-KTST,9978,46,38,63
523,NYSE-MDKA,9780,50,30,58
523,NYSE-MDKA,9780,50,30,60
523,NYSE-MDKA,9782,50,32,60
523,NYSE-MDKA,9782,150,32,62
523,NYSE-MDKA,9782,50,32,64
523,NYSE-MDKA,9784,50,44,64
523,NYSE-MDKA,9786,100,4,64
523,NYSE-MDKA,9786,100,14,66
523,NYSE-MDKA,9786,100,46,66
