time,instrument,price,quantity,passive_order_id,active_order_id
478488,TMX-SIMP,10085,30,108162,108182
478488,TMX-SIMP,10085,1,108162,108183
478488,TMX-MDKA,11664,27,77341,77370
478488,TMX-MDKA,11664,53,77343,77370
478488,TMX-ZABA,12203,50,73206,73217
478488,TMX-NGUP,9845,10,77528,77539
478488,TMX-DDJH,11964,5,71319,71330
478488,TMX-CARD,8895,50,121195,121211
478488,TMX-CARD,8896,100,121197,121211
478488,TMX-CARD,8897,150,121199,121211
478488,TMX-CARD,8898,200,121201,121211
478488,TMX-CARD,8899,250,121203,121211
478488,TMX-KRAS,9533,5,73860,73879
478489,TMX-SIMP,10088,5,108161,108185
478489,TMX-XFR,10173,5,75971,75980
478489,TMX-NGUP,9845,40,77528,77540
478489,TMX-NGUP,9843,100,77530,77540
478489,TMX-NGUP,9841,20,77532,77540
478489,TMX-HT,10643,10,73996,74007
478489,TMX-HT,10639,5,73995,74008
478489,TMX-HT,10643,10,73996,74009
478489,TMX-KRAS,9533,10,73860,73880
478489,TMX-KTST,10825,5,75264,75275
478489,TMX-DDJH,11960,5,71318,71332
478490,TMX-GOLD,9742,50,74006,74015
478491,TMX-JZRO,11605,50,69739,69748
478491,TMX-KRAS,9533,35,73860,73881
478497,TMX-KTST,10825,4,75264,75276
478497,TMX-DDJH,11964,3,71319,71333
478497,TMX-XFR,10169,1,75970,75981
478499,TMX-CARD,8895,10,121214,121216
478503,TMX-JZRO,11605,50,69748,69750
478503,TMX-KRAS,9515,50,73859,73883
478503,TMX-KRAS,9515,42,73859,73885
478504,TMX-MDKA,11664,47,77343,77372
478507,TMX-XFR,10182,25,63901,75982
478507,TMX-XFR,10185,25,64250,75982
478507,TMX-XFR,10186,25,62129,75984
478508,TMX-ZABA,12203,40,73217,73221
478508,TMX-ZABA,12203,10,73218,73221
478508,TMX-ZABA,12203,93,73218,73223
478508,TMX-ZABA,12203,7,73219,73223
478508,TMX-ZABA,12203,93,73219,73225
478508,TMX-DDJH,11929,25,71335,71344
478509,TMX-XFR,10191,5,75984,75992
478517,TMX-SIMP,10072,6,108196,108208
478570,TMX-NGUP,9852,8,77541,77552
478570,TMX-HT,10611,8,74010,74021
478576,TMX-ETFA3,10224,5,74870,74879
478576,TMX-ETFA3,10224,5,74870,74880
478577,TMX-ETFA3,10224,5,74870,74881
478578,TMX-ETFA3,10224,5,74870,74882
478588,TMX-XFR,10191,4,75984,75993
478588,TMX-SIMP,10072,30,108196,108226
478588,TMX-MDKA,11592,3,77372,77383
478589,TMX-XFR,10191,4,75984,75994
478589,TMX-ETFA3,10224,30,74870,74883
478589,TMX-ETFA3,10226,46,74872,74883
478590,TMX-HT,10611,5,74010,74023
478590,TMX-JZRO,11600,5,69752,69760
478590,TMX-XFR,10191,8,75984,75995
478590,TMX-KTST,10849,5,75278,75287
478590,TMX-MDKA,11594,5,77374,77384
478590,TMX-NGUP,9852,5,77541,77553
478590,TMX-MDKA,11592,1,77383,77385
478590,TMX-GOLD,9744,50,74017,74027
478590,TMX-GOLD,9745,30,74019,74027
478590,TMX-KTST,10845,50,75277,75288
478590,TMX-KTST,10843,100,75279,75288
478590,TMX-KTST,10841,10,75281,75288
478591,TMX-DDJH,11929,10,71335,71346
478591,TMX-KRAS,9509,10,73885,73894
478591,TMX-KRAS,9509,10,73885,73895
478591,TMX-SIMP,10072,14,108196,108229
478591,TMX-NGUP,9852,18,77541,77554
478591,TMX-KRAS,9509,10,73885,73896
478591,TMX-KRAS,9509,10,73885,73897
478591,TMX-KRAS,9509,18,73885,73898
478591,TMX-JZRO,11600,67,69752,69761
478591,TMX-GOLD,9742,50,74015,74028
478591,TMX-GOLD,9742,50,74016,74028
478591,TMX-GOLD,9742,60,74026,74028
478591,TMX-CARD,8891,50,121215,121237
478591,TMX-DDJH,11929,15,71335,71347
478591,TMX-HT,10615,50,74011,74024
478591,TMX-ZABA,12191,10,73225,73231
478597,TMX-DDJH,11929,4,71347,71348
478600,TMX-CARD,8891,20,121237,121238
478600,TMX-CARD,8893,12,121225,121238
478600,TMX-CARD,8893,6,121226,121238
478600,TMX-CARD,8893,12,121230,121238
478600,TMX-CARD,8893,8,121230,121240
478601,TMX-DDJH,11929,50,71347,71350
478601,TMX-DDJH,11929,31,71347,71352
478601,TMX-HT,10615,50,74024,74026
478604,TMX-KRAS,9509,50,73899,73902
478604,TMX-KRAS,9509,77,73899,73904
478604,TMX-KRAS,9509,23,73900,73904
478604,TMX-KRAS,9509,77,73900,73906
478609,TMX-ZABA,12187,5,73230,73233
478609,TMX-DDJH,11905,25,71352,71359
478610,TMX-CARD,8899,5,121240,121248
478610,TMX-SIMP,10083,30,108236,108247
478612,TMX-MDKA,11663,8,77389,77399
478613,TMX-SIMP,10083,20,108236,108248
