time,instrument,order_id,expired
799219,ZSE-XAG,118928,False
799219,ZSE-DLKV,127567,False
799219,ZSE-ETFSH,139648,False
799219,ZSE-XAG,118929,False
799219,ZSE-GOLD,132993,False
799219,ZSE-XAG,118930,False
799219,ZSE-ETFSH,139650,False
799220,ZSE-SIMP,143318,False
799220,ZSE-NGUP,137450,False
799220,ZSE-ETFSH,139651,False
799220,ZSE-GOLD,132994,False
799220,ZSE-ETFA3,137116,False
799220,ZSE-SIMP,143319,False
799220,ZSE-GOLD,132995,False
799221,ZSE-KRAS,112491,False
799221,ZSE-NGUP,137451,False
799221,ZSE-SIMP,143320,False
799221,ZSE-ETFSH,139653,False
799221,ZSE-INA,135421,False
799222,ZSE-SIMP,143321,False
799230,ZSE-ETFSH,139640,False
799230,ZSE-ETFSH,139639,False
799230,ZSE-ETFSH,139635,False
799230,ZSE-ETFSH,139634,False
799230,ZSE-ETFSH,139637,False
799231,ZSE-ETFSH,139638,False
799231,ZSE-ETFSH,139636,False
799233,ZSE-ETFB,138853,False
799233,ZSE-ETFB,138852,False
799233,ZSE-ETFB,138851,False
799233,ZSE-ETFB,138850,False
799233,ZSE-ETFB,138849,False
799233,ZSE-ETFB,138847,False
799233,ZSE-ETFB,138845,False
799233,ZSE-ETFB,138848,False
799233,ZSE-ETFB,138846,False
799233,ZSE-ETFB,138844,False
799235,ZSE-ETFB3,133702,False
799235,ZSE-ETFB3,133700,False
799235,ZSE-ETFB3,133697,False
799239,ZSE-ETFB3,133701,False
799239,ZSE-ETFB3,133703,False
799240,ZSE-ETFB3,133699,False
799242,ZSE-ETFA3,137111,False
799242,ZSE-ETFA3,137112,False
799246,ZSE-ETFA3,137110,False
799246,ZSE-ETFA3,137108,False
799249,ZSE-ETFA3,137106,False
799254,ZSE-ETFA,137999,False
799254,ZSE-ETFA,137998,False
799254,ZSE-ETFA,137994,False
799254,ZSE-ETFA,137992,False
799254,ZSE-ETFA,137990,False
799254,ZSE-ETFA,137995,False
799255,ZSE-ETFA,137993,False
799255,ZSE-ETFA,137997,False
799256,ZSE-ETFA,137996,False
799261,ZSE-CARD,169027,False
799261,ZSE-CARD,169025,False
799261,ZSE-CARD,169023,False
799261,ZSE-CARD,169026,False
799261,ZSE-CARD,169024,False
799261,ZSE-CARD,169022,False
799263,ZSE-CARD,169021,False
799263,ZSE-CARD,169028,False
799263,ZSE-CARD,169029,False
799265,ZSE-DDJH,128389,False
799265,ZSE-DDJH,128386,False
799265,ZSE-DDJH,128384,False
799265,ZSE-DDJH,128391,False
799265,ZSE-DDJH,128387,False
799265,ZSE-DDJH,128392,False
799265,ZSE-DDJH,128390,False
799265,ZSE-DDJH,128388,False
799265,ZSE-DDJH,128383,False
799265,ZSE-DDJH,128385,False
799265,ZSE-DLKV,127559,False
799265,ZSE-DLKV,127558,False
799265,ZSE-DLKV,127552,False
799265,ZSE-DLKV,127557,False
799265,ZSE-DLKV,127556,False
799265,ZSE-DLKV,127554,False
799266,ZSE-FSR,128507,False
799266,ZSE-FSR,128505,False
799266,ZSE-FSR,128503,False
799266,ZSE-FSR,128502,False
799266,ZSE-FSR,128501,False
799266,ZSE-FSR,128506,False
799266,ZSE-FSR,128508,False
799266,ZSE-FSR,128504,False
799266,ZSE-GOLD,132981,False
799266,ZSE-GOLD,132979,False
799266,ZSE-GOLD,132975,False
799266,ZSE-GOLD,132977,False
799266,ZSE-GOLD,132978,False
799267,ZSE-GOLD,132976,False
799267,ZSE-GOLD,132980,False
799267,ZSE-GOLD,132974,False
799267,ZSE-HT,127652,False
799267,ZSE-HT,127650,False
799267,ZSE-HT,127648,False
799267,ZSE-HT,127656,False
799267,ZSE-HT,127654,False
799268,ZSE-INA,135412,False
799268,ZSE-INA,135411,False
799268,ZSE-INA,135409,False
799268,ZSE-INA,135408,False
799268,ZSE-INA,135406,False
799268,ZSE-INA,135404,False
799268,ZSE-INA,135410,False
799268,ZSE-JNAF,131303,False
799268,ZSE-JNAF,131302,False
799268,ZSE-JNAF,131299,False
799268,ZSE-JNAF,131307,False
799268,ZSE-JNAF,131305,False
799268,ZSE-JNAF,131304,False
799268,ZSE-JNAF,131306,False
799268,ZSE-JNAF,131301,False
799269,ZSE-JZRO,127435,False
799269,ZSE-JZRO,127439,False
799269,ZSE-JZRO,127442,False
799269,ZSE-JZRO,127437,False
799269,ZSE-JZRO,127444,False
799269,ZSE-JZRO,127441,False
799269,ZSE-JZRO,127443,False
799269,ZSE-KOTD,132290,False
799269,ZSE-KOTD,132289,False
799269,ZSE-KOTD,132288,False
799269,ZSE-KOTD,132287,False
