time,instrument,price,quantity,passive_order_id,active_order_id
559814,ZSE-ETFB,9333,112,105174,105188
559814,ZSE-OIT,9046,25,106544,106555
559815,ZSE-ETFA,8680,24,104422,104435
559815,ZSE-NGUP,9280,4,107332,107348
559815,ZSE-OIT,9044,4,106543,106556
559815,ZSE-KTST,9821,4,103612,103626
559815,ZSE-FSR,7721,4,102009,102021
559815,ZSE-JZRO,7864,4,105098,105106
559815,ZSE-XFR,8510,4,98937,98960
559815,ZSE-ETFB3,9290,21,102806,102815
559815,ZSE-ETFSH,11869,60,113166,113180
559815,ZSE-HT,9386,100,104995,105004
559815,ZSE-MDKA,7674,25,113823,113833
559815,ZSE-ETFSH,11859,30,113159,113181
559815,ZSE-ETFA3,9166,25,102343,102357
559815,ZSE-ETFB,9338,27,105173,105189
559815,ZSE-ETFA,8680,92,104422,104436
559815,ZSE-CARD,9984,50,165528,165553
559815,ZSE-NGUP,9280,7,107332,107349
559815,ZSE-KTST,9821,7,103612,103627
559815,ZSE-XFR,8510,7,98937,98961
559815,ZSE-KOTD,9208,50,107838,107850
559815,ZSE-ETFB3,9291,100,102803,102816
559815,ZSE-INA,9851,50,104248,104259
559815,ZSE-CARD,9984,4,165528,165554
559815,ZSE-CARD,9987,30,165527,165555
559816,ZSE-CARD,9987,17,165527,165556
559816,ZSE-DLKV,8840,4,108274,108294
559817,ZSE-GOLD,11291,25,109310,109325
559817,ZSE-XAG,12325,10,100812,100828
559817,ZSE-XAG,12328,15,100814,100828
559817,ZSE-JZRO,7868,13,105095,105107
559817,ZSE-JZRO,7868,10,105095,105108
559817,ZSE-ETFA,8682,200,104424,104439
559817,ZSE-ETFA,8684,232,104426,104439
559817,ZSE-CARD,9987,120,165556,165557
559817,ZSE-CARD,9987,81,165556,165558
559817,ZSE-CARD,9983,150,165530,165558
559817,ZSE-CARD,9982,200,165532,165558
559817,ZSE-CARD,9981,248,165534,165558
559817,ZSE-KTST,9827,47,103611,103628
559817,ZSE-GOLD,11291,70,109310,109326
559817,ZSE-JZRO,7868,25,105095,105109
559817,ZSE-ETFB3,9291,3,102803,102817
559817,ZSE-KOTD,9214,39,107841,107851
559817,ZSE-MDKA,7677,37,113822,113834
559817,ZSE-OIT,9045,13,106557,106558
559817,ZSE-XAG,12313,53,100815,100830
559817,ZSE-ZITO,7596,60,102844,102855
559817,ZSE-CARD,9981,2,165534,165563
559817,ZSE-CARD,9844,25,165540,165563
559817,ZSE-CARD,9844,4,165547,165563
559817,ZSE-KRAS,9615,61,99475,99488
559817,ZSE-DLKV,8840,6,108274,108295
559817,ZSE-ETFB,9333,20,105174,105190
559817,ZSE-GOLD,11291,20,109310,109327
559817,ZSE-JZRO,7868,2,105095,105111
559817,ZSE-JZRO,7869,23,105097,105111
559818,ZSE-XFR,8516,50,98940,98964
559818,ZSE-ETFA,8680,5,104438,104441
559818,ZSE-ETFA,8664,137,104425,104441
559818,ZSE-ETFB,9333,10,105174,105191
559819,ZSE-NGUP,9280,13,107332,107350
559819,ZSE-FSR,7721,13,102009,102022
559819,ZSE-JZRO,7864,13,105098,105112
559819,ZSE-XFR,8510,13,98937,98965
559820,ZSE-NGUP,9280,12,107332,107351
